,date,accX,accY,accZ,gyrX,gyrY,gyrZ,files,accTotal,gyrTotal
0,2020-09-13 17:09:25,0.02,0.12,0.03,1.47,3.32,2.22,1,0.12529964086141668,4.255784299045241
1,2020-09-13 17:09:26,0.02,0.12,0.03,1.47,3.32,2.22,1,0.12529964086141668,4.255784299045241
2,2020-09-13 17:09:27,0.01,0.01,0.0,7.43,6.82,10.1,1,0.01414213562373095,14.273307255152885
12,2020-09-13 17:09:34,0.01,0.01,0.0,6.64,7.07,12.45,1,0.01414213562373095,15.782173487831136
13,2020-09-13 17:09:34,0.01,0.01,0.0,4.12,3.61,5.81,1,0.01414213562373095,7.985148714958288
14,2020-09-13 17:09:35,0.01,0.01,0.0,4.12,9.66,19.18,1,0.01414213562373095,21.866924795224406
15,2020-09-13 17:09:36,0.0,0.01,0.0,10.24,9.66,19.18,1,0.01,23.791712842920745
20,2020-09-13 17:09:40,0.01,0.01,0.0,1.86,4.9,2.2,1,0.01414213562373095,5.6841534110190945
21,2020-09-13 17:09:40,0.03,0.03,0.01,6.62,9.37,9.75,1,0.04358898943540673,15.056022050993416
22,2020-09-13 17:09:41,0.03,0.03,0.01,6.62,4.58,4.69,1,0.04358898943540673,9.316485388814819
23,2020-09-13 17:09:42,0.02,0.02,0.01,2.98,4.58,4.69,1,0.030000000000000002,7.200895777609895
70,2020-09-13 17:10:16,0.0,0.01,0.0,3.17,3.31,2.45,1,0.01,5.196874060432868
71,2020-09-13 17:10:16,0.01,0.01,0.0,3.17,3.31,2.45,1,0.01414213562373095,5.196874060432868
72,2020-09-13 17:10:17,0.01,0.01,0.0,3.43,2.97,1.48,1,0.01414213562373095,4.7724417230595915
127,2020-09-13 17:10:57,0.0,0.0,0.01,6.5,4.77,4.31,1,0.01,9.142155106975597
128,2020-09-13 17:10:58,0.02,0.02,0.01,6.5,4.77,4.31,1,0.030000000000000002,9.142155106975597
129,2020-09-13 17:10:58,0.01,0.02,0.01,3.96,2.81,7.46,1,0.024494897427831782,8.901084203623736
130,2020-09-13 17:10:59,0.01,0.02,0.01,3.96,26.58,12.55,1,0.024494897427831782,29.659408288096376
131,2020-09-13 17:11:00,0.04,0.06,0.14,9.37,26.58,12.55,1,0.15748015748023622,30.851187983609318
132,2020-09-13 17:11:01,0.04,0.0,0.01,1.43,3.15,2.88,1,0.04123105625617661,4.501310920165369
134,2020-09-13 17:11:02,0.02,0.02,0.02,4.71,8.69,10.82,1,0.034641016151377546,14.655121971515625
135,2020-09-13 17:11:03,0.02,0.02,0.01,3.31,6.7,4.7,1,0.030000000000000002,8.828142499982656
136,2020-09-13 17:11:03,0.04,0.02,0.01,3.31,6.7,4.7,1,0.0458257569495584,8.828142499982656
142,2020-09-13 17:11:08,0.01,0.01,0.0,1.54,3.34,2.57,1,0.01414213562373095,4.486880876510987
143,2020-09-13 17:11:09,0.01,0.02,0.01,3.17,5.9,4.31,1,0.024494897427831782,7.964609218285603
144,2020-09-13 17:11:09,0.03,0.02,0.01,3.17,5.9,4.31,1,0.03741657386773942,7.964609218285603
146,2020-09-13 17:11:11,0.01,0.01,0.05,3.99,5.22,2.13,1,0.051961524227066326,6.9069095838877175
147,2020-09-13 17:11:12,0.02,0.01,0.05,3.99,5.22,2.13,1,0.05477225575051661,6.9069095838877175
151,2020-09-13 17:11:14,0.0,0.01,0.02,2.78,2.58,1.37,1,0.022360679774997897,4.032579819420813
152,2020-09-13 17:11:15,0.01,0.01,0.02,2.78,2.58,11.29,1,0.024494897427831782,11.910033585175148
153,2020-09-13 17:11:16,0.05,0.03,0.02,7.73,11.23,11.29,1,0.061644140029689765,17.70112708275945
154,2020-09-13 17:11:17,0.05,0.03,0.01,2.58,6.47,4.03,1,0.05916079783099616,8.04724797679306
155,2020-09-13 17:11:17,0.03,0.01,0.01,2.58,6.47,4.03,1,0.033166247903554,8.04724797679306
156,2020-09-13 17:11:18,0.02,0.01,0.0,2.27,6.05,3.48,1,0.022360679774997897,7.3393323947073
191,2020-09-13 17:11:44,0.02,0.01,0.0,2.72,3.1,2.41,1,0.022360679774997897,4.776662014419693
246,2020-09-13 17:12:23,0.02,0.04,0.01,3.25,4.44,4.82,1,0.0458257569495584,7.31495044412469
247,2020-09-13 17:12:24,0.02,0.04,0.01,3.25,4.44,7.82,1,0.0458257569495584,9.561825139585016
248,2020-09-13 17:12:25,0.02,0.01,0.01,4.34,7.03,7.82,1,0.024494897427831782,11.375803268341098
265,2020-09-13 17:12:37,0.01,0.01,0.01,4.6,3.9,2.03,1,0.017320508075688773,6.363246026989684
266,2020-09-13 17:12:38,0.01,0.01,0.01,4.6,3.9,1.84,1,0.017320508075688773,6.305204199706779
