date,accX,accY,accZ,gyrX,gyrY,gyrZ,fall
2020-09-03 13:12:30,0.0,0.0,0.95,0.75,0.92,0.27,0.0
2020-09-03 13:12:31,0.13,0.31,0.95,0.75,0.97,0.27,0.0
2020-09-03 13:12:32,0.13,0.31,0.95,0.67,0.93,0.37,0.0
2020-09-03 13:12:34,0.13,0.31,0.95,0.7,1.21,0.6,0.0
2020-09-03 13:12:35,0.13,0.3,0.95,0.59,0.96,0.35,0.0
2020-09-03 13:12:36,0.13,0.3,0.95,0.92,0.87,0.36,0.0
2020-09-03 13:12:37,0.13,0.31,0.95,1.05,0.92,0.56,0.0
2020-09-03 13:12:38,0.13,0.31,0.95,0.81,0.89,0.2,0.0
2020-09-03 13:12:39,0.13,0.3,0.95,1.6,1.28,0.93,0.0
2020-09-03 13:12:41,0.13,0.31,0.95,1.26,0.76,1.13,0.0
2020-09-03 13:12:42,0.13,0.32,0.94,1.17,1.04,1.02,0.0
2020-09-03 13:12:43,0.12,0.31,0.95,0.96,0.83,2.44,0.0
2020-09-03 13:12:44,0.13,0.31,0.95,0.81,1.5,2.17,0.0
2020-09-03 13:12:45,0.13,0.31,0.95,0.78,0.78,0.92,0.0
2020-09-03 13:12:47,0.12,0.31,0.95,1.02,1.05,0.69,0.0
2020-09-03 13:12:48,0.12,0.32,0.95,1.16,0.82,0.49,0.0
2020-09-03 13:12:49,0.13,0.33,0.94,1.11,0.95,0.95,0.0
2020-09-03 13:12:50,0.13,0.33,0.94,0.7,0.87,0.25,0.0
2020-09-03 13:12:51,0.13,0.33,0.94,0.67,0.93,0.26,0.0
2020-09-03 13:12:52,0.13,0.33,0.94,0.71,0.9,0.54,0.0
2020-09-03 13:12:53,0.13,0.33,0.94,0.64,0.93,0.26,0.0
2020-09-03 13:12:54,0.13,0.33,0.94,0.72,0.91,0.26,0.0
2020-09-03 13:12:56,0.13,0.33,0.94,0.71,0.91,0.25,0.0
2020-09-03 13:12:57,0.13,0.33,0.94,0.73,0.91,0.25,0.0
2020-09-03 13:12:58,0.13,0.33,0.94,0.66,0.96,0.28,0.0
2020-09-03 13:12:59,0.13,0.33,0.94,0.71,0.9,0.27,0.0
2020-09-03 13:13:00,0.13,0.33,0.94,0.68,0.93,0.3,0.0
2020-09-03 13:13:01,0.13,0.33,0.94,0.71,0.93,0.27,0.0
2020-09-03 13:13:02,0.13,0.33,0.94,0.71,0.94,0.29,0.0
2020-09-03 13:13:04,0.13,0.33,0.94,0.74,0.9,0.25,0.0
2020-09-03 13:13:05,0.13,0.33,0.94,0.94,0.87,0.24,0.0
2020-09-03 13:13:06,0.13,0.34,0.94,1.38,1.0,0.53,0.0
2020-09-03 13:13:07,0.13,0.35,0.93,0.91,0.98,1.26,0.0
2020-09-03 13:13:08,0.13,0.35,0.94,1.28,0.9,0.58,0.0
2020-09-03 13:13:09,0.13,0.35,0.94,0.68,0.89,0.38,0.0
2020-09-03 13:13:11,0.13,0.34,0.94,0.6,0.82,0.46,0.0
2020-09-03 13:13:12,0.13,0.34,0.94,0.57,1.05,0.6,0.0
2020-09-03 13:13:13,0.13,0.34,0.94,0.62,0.96,0.27,0.0
2020-09-03 13:13:26,0.13,0.34,0.94,0.64,0.97,0.31,0.0
2020-09-03 13:13:27,0.13,0.34,0.94,0.63,0.97,0.3,0.0
2020-09-03 13:13:29,0.13,0.34,0.94,0.65,0.93,0.26,0.0
2020-09-03 13:13:30,0.13,0.34,0.94,0.65,0.95,0.28,0.0
2020-09-03 13:13:31,0.13,0.34,0.94,0.64,0.98,0.29,0.0
2020-09-03 13:13:32,0.13,0.34,0.94,0.67,0.92,0.27,0.0
2020-09-03 13:13:46,0.13,0.33,0.94,0.72,0.95,0.44,0.0
2020-09-03 13:13:48,0.13,0.34,0.94,0.65,0.93,0.28,0.0
2020-09-03 13:13:49,0.13,0.34,0.94,0.67,0.98,0.28,0.0
2020-09-03 13:13:50,0.13,0.34,0.94,0.65,0.94,0.26,0.0
2020-09-03 13:13:51,0.13,0.34,0.94,0.65,0.96,0.3,0.0
2020-09-03 13:13:52,0.13,0.34,0.94,0.63,0.97,0.3,0.0
2020-09-03 13:13:53,0.13,0.34,0.94,0.7,0.9,0.24,0.0
2020-09-03 13:13:55,0.13,0.33,0.94,0.91,1.03,0.75,0.0
2020-09-03 13:13:56,0.13,0.32,0.94,0.99,1.17,1.01,0.0
2020-09-03 13:13:57,0.13,0.33,0.94,0.7,1.03,0.44,0.0
2020-09-03 13:13:58,0.13,0.33,0.94,0.72,0.91,0.19,0.0
2020-09-03 13:13:59,0.13,0.33,0.94,0.71,0.93,0.27,0.0
2020-09-03 13:14:00,0.13,0.33,0.94,0.66,0.96,0.26,0.0
2020-09-03 13:14:01,0.13,0.33,0.94,0.74,1.12,0.73,0.0
2020-09-03 13:14:03,0.13,0.33,0.94,0.62,1.02,0.3,0.0
2020-09-03 13:14:04,0.13,0.33,0.94,0.64,0.97,0.31,0.0
2020-09-03 13:14:05,0.13,0.33,0.94,0.62,0.97,0.31,0.0
2020-09-03 13:14:06,0.13,0.33,0.94,0.64,0.94,0.3,0.0
2020-09-03 13:14:07,0.13,0.33,0.94,0.62,0.99,0.27,0.0
2020-09-03 13:14:08,0.13,0.33,0.94,0.61,1.0,0.32,0.0
2020-09-03 13:14:10,0.13,0.33,0.94,0.63,0.95,0.27,0.0
2020-09-03 13:14:11,0.13,0.33,0.94,0.64,1.0,0.65,0.0
2020-09-03 13:14:12,0.13,0.32,0.94,0.57,0.79,0.44,0.0
2020-09-03 13:14:13,0.13,0.32,0.95,1.08,0.89,0.44,0.0
2020-09-03 13:14:14,0.13,0.33,0.94,0.71,1.05,0.29,0.0
2020-09-03 13:14:15,0.13,0.33,0.94,0.6,0.98,0.3,0.0
2020-09-03 13:14:17,0.13,0.33,0.94,0.65,0.98,0.31,0.0
2020-09-03 13:14:18,0.13,0.33,0.94,0.66,0.92,0.29,0.0
2020-09-03 13:14:19,0.13,0.33,0.94,0.65,0.93,0.27,0.0
2020-09-03 13:14:20,0.13,0.33,0.94,0.65,0.95,0.27,0.0
2020-09-03 13:14:21,0.13,0.33,0.94,0.68,0.96,0.29,0.0
2020-09-03 13:14:22,0.13,0.33,0.94,0.63,0.94,0.31,0.0
2020-09-03 13:14:23,0.13,0.33,0.94,0.68,0.91,0.24,0.0
2020-09-03 13:14:24,0.13,0.33,0.94,0.62,0.93,0.29,0.0
2020-09-03 13:14:26,0.13,0.33,0.94,0.62,1.0,0.31,0.0
2020-09-03 13:14:27,0.13,0.33,0.94,0.6,0.97,0.27,0.0
2020-09-03 13:14:28,0.13,0.33,0.94,0.65,0.99,0.31,0.0
2020-09-03 13:14:29,0.13,0.33,0.94,0.63,0.97,0.28,0.0
2020-09-03 13:14:30,0.13,0.33,0.94,0.63,0.98,0.31,0.0
2020-09-03 13:14:31,0.13,0.33,0.94,0.58,1.03,0.35,0.0
2020-09-03 13:14:33,0.13,0.33,0.94,0.63,0.95,0.31,0.0
2020-09-03 13:14:34,0.13,0.33,0.94,0.59,1.0,0.35,0.0
2020-09-03 13:14:35,0.13,0.33,0.94,0.63,1.01,0.3,0.0
2020-09-03 13:14:36,0.13,0.33,0.94,0.59,1.0,0.33,0.0
2020-09-03 13:14:37,0.13,0.33,0.94,0.54,1.11,0.8,0.0
2020-09-03 13:14:39,0.12,0.32,0.95,0.71,1.34,1.46,0.0
2020-09-03 13:14:40,0.12,0.31,0.95,0.42,1.04,0.42,0.0
2020-09-03 13:14:41,0.12,0.31,0.95,0.62,0.88,0.66,0.0
2020-09-03 13:14:42,0.12,0.31,0.95,0.92,1.33,1.0,0.0
2020-09-03 13:14:43,0.12,0.31,0.95,0.65,1.02,0.78,0.0
2020-09-03 13:14:44,0.12,0.31,0.94,0.82,0.69,0.37,0.0
2020-09-03 13:14:46,0.13,0.32,0.95,1.03,1.17,0.71,0.0
2020-09-03 13:14:47,0.13,0.32,0.94,1.24,0.88,0.54,0.0
2020-09-03 13:14:48,0.13,0.33,0.94,0.64,0.9,0.29,0.0
2020-09-03 13:14:49,0.13,0.33,0.94,0.62,0.94,0.3,0.0
2020-09-03 13:14:51,0.13,0.33,0.94,0.57,0.99,0.29,0.0
2020-09-03 13:14:52,0.13,0.33,0.94,0.63,0.98,0.3,0.0
2020-09-03 13:14:53,0.13,0.33,0.94,0.63,0.96,0.31,0.0
2020-09-03 13:14:54,0.13,0.33,0.94,0.63,0.94,0.28,0.0
2020-09-03 13:14:55,0.13,0.33,0.94,0.65,0.95,0.28,0.0
2020-09-03 13:14:56,0.13,0.33,0.94,0.64,0.95,0.28,0.0
2020-09-03 13:14:57,0.13,0.33,0.94,0.62,0.94,0.29,0.0
2020-09-03 13:14:59,0.13,0.33,0.94,0.67,0.95,0.28,0.0
2020-09-03 13:15:00,0.13,0.33,0.94,0.64,0.96,0.3,0.0
2020-09-03 13:15:01,0.13,0.33,0.94,0.66,0.96,0.28,0.0
2020-09-03 13:15:02,0.13,0.33,0.94,0.64,0.98,0.28,0.0
2020-09-03 13:15:03,0.13,0.33,0.94,0.62,0.98,0.31,0.0
2020-09-03 13:15:04,0.13,0.33,0.94,0.61,0.98,0.32,0.0
2020-09-03 13:15:06,0.13,0.33,0.94,0.61,0.97,0.33,0.0
2020-09-03 13:15:07,0.13,0.33,0.94,0.63,0.97,0.28,0.0
2020-09-03 13:15:08,0.13,0.33,0.94,0.65,0.98,0.3,0.0
2020-09-03 13:15:09,0.13,0.33,0.94,0.68,0.92,0.25,0.0
2020-09-03 13:15:10,0.13,0.33,0.94,0.62,0.96,0.26,0.0
2020-09-03 13:15:11,0.13,0.33,0.94,0.67,0.95,0.27,0.0
2020-09-03 13:15:13,0.13,0.33,0.94,0.68,0.94,0.27,0.0
2020-09-03 13:15:14,0.13,0.33,0.94,0.66,0.96,0.28,0.0
2020-09-03 13:15:15,0.13,0.33,0.94,0.62,0.97,0.28,0.0
2020-09-03 13:15:16,0.13,0.33,0.94,0.64,0.95,0.29,0.0
2020-09-03 13:15:17,0.13,0.33,0.94,0.57,0.94,0.28,0.0
2020-09-03 13:15:18,0.13,0.33,0.94,0.73,0.95,0.2,0.0
2020-09-03 13:15:19,0.13,0.33,0.94,0.7,0.95,0.38,0.0
2020-09-03 13:15:21,0.13,0.32,0.95,1.28,0.69,2.27,0.0
2020-09-03 13:15:22,0.13,0.33,0.94,1.76,1.18,1.54,0.0
2020-09-03 13:15:23,0.13,0.34,0.94,1.7,0.89,0.66,0.0
2020-09-03 13:15:24,0.13,0.34,0.94,0.64,0.98,0.29,0.0
2020-09-03 13:15:25,0.13,0.34,0.94,0.66,0.95,0.28,0.0
2020-09-03 13:15:26,0.13,0.34,0.94,0.61,0.96,0.31,0.0
2020-09-03 13:15:27,0.13,0.34,0.94,0.61,0.98,0.31,0.0
2020-09-03 13:15:29,0.13,0.34,0.94,0.64,0.96,0.29,0.0
2020-09-03 13:15:30,0.13,0.34,0.94,0.58,0.98,0.31,0.0
2020-09-03 13:15:31,0.13,0.34,0.94,0.64,0.94,0.44,0.0
2020-09-03 13:15:32,0.12,0.34,0.94,1.06,2.08,8.24,0.0
2020-09-03 13:15:33,0.11,0.34,0.94,0.96,1.86,7.33,0.0
2020-09-03 13:15:34,0.11,0.34,0.94,0.59,0.85,1.04,0.0
2020-09-03 13:15:35,0.12,0.34,0.94,0.92,1.13,1.01,0.0
2020-09-03 13:15:37,0.12,0.34,0.94,0.62,0.95,0.36,0.0
2020-09-03 13:15:38,0.12,0.34,0.94,0.6,1.02,0.3,0.0
2020-09-03 13:15:39,0.12,0.34,0.94,0.6,0.94,0.3,0.0
2020-09-03 13:15:40,0.12,0.34,0.94,0.64,0.93,0.28,0.0
2020-09-03 13:15:41,0.12,0.34,0.94,0.56,0.95,0.26,0.0
2020-09-03 13:15:42,0.12,0.34,0.94,0.66,1.24,1.14,0.0
2020-09-03 13:15:43,0.12,0.34,0.94,0.56,0.96,0.35,0.0
2020-09-03 13:15:45,0.12,0.34,0.94,0.79,1.06,0.89,0.0
2020-09-03 13:15:46,0.12,0.34,0.94,0.48,1.02,3.46,0.0
2020-09-03 13:15:47,0.11,0.34,0.94,0.54,1.25,2.08,0.0
2020-09-03 13:15:48,0.12,0.3,0.95,2.53,1.21,1.4,0.0
2020-09-03 13:15:49,0.12,0.29,0.96,2.81,1.14,1.27,0.0
2020-09-03 13:15:50,0.12,0.33,0.94,0.86,1.19,0.99,0.0
2020-09-03 13:15:51,0.12,0.32,0.95,0.55,0.8,1.55,0.0
2020-09-03 13:15:52,0.12,0.32,0.95,0.6,0.97,0.39,0.0
2020-09-03 13:15:54,0.12,0.32,0.95,0.86,1.03,0.41,0.0
2020-09-03 13:15:55,0.12,0.32,0.95,0.39,0.83,0.44,0.0
2020-09-03 13:15:56,0.12,0.32,0.95,1.19,1.01,0.42,0.0
2020-09-03 13:15:57,0.12,0.33,0.95,1.08,1.2,0.82,0.0
2020-09-03 13:15:58,0.12,0.33,0.94,0.46,1.14,0.99,0.0
2020-09-03 13:15:59,0.12,0.32,0.95,0.7,0.97,0.31,0.0
2020-09-03 13:16:01,0.12,0.33,0.94,1.22,1.38,1.63,0.0
2020-09-03 13:16:02,0.12,0.34,0.94,1.82,2.66,5.51,0.0
2020-09-03 13:16:03,0.12,0.34,0.94,0.64,1.31,1.81,0.0
2020-09-03 13:16:04,0.12,0.34,0.94,0.93,1.14,0.82,0.0
2020-09-03 13:16:05,0.12,0.34,0.94,1.06,0.82,1.0,0.0
2020-09-03 13:16:06,0.12,0.34,0.94,0.57,1.07,1.56,0.0
2020-09-03 13:16:07,0.12,0.34,0.94,0.52,0.67,0.74,0.0
2020-09-03 13:16:08,0.12,0.34,0.94,0.65,1.02,0.55,0.0
2020-09-03 13:16:10,0.12,0.34,0.94,0.58,0.76,0.57,0.0
2020-09-03 13:16:11,0.12,0.33,0.94,0.62,1.0,0.6,0.0
2020-09-03 13:16:12,0.12,0.34,0.94,0.65,1.2,0.64,0.0
2020-09-03 13:16:13,0.12,0.33,0.94,0.59,0.98,0.71,0.0
2020-09-03 13:16:14,0.12,0.33,0.94,0.62,0.95,0.3,0.0
2020-09-03 13:16:16,0.12,0.33,0.94,0.67,0.87,0.31,0.0
2020-09-03 13:16:17,0.12,0.33,0.94,0.62,1.01,0.33,0.0
2020-09-03 13:16:18,0.12,0.33,0.94,0.62,0.94,0.24,0.0
2020-09-03 13:16:19,0.12,0.33,0.94,0.61,0.94,0.27,0.0
2020-09-03 13:16:20,0.12,0.33,0.94,0.64,0.91,0.37,0.0
2020-09-03 13:16:21,0.12,0.33,0.94,1.03,1.52,0.81,0.0
2020-09-03 13:16:22,0.12,0.26,0.95,9.85,1.63,4.28,0.0
2020-09-03 13:16:24,0.13,0.05,1.0,11.55,4.07,5.29,0.0
2020-09-03 13:16:25,0.17,0.06,0.99,1.44,1.16,0.68,0.0
2020-09-03 13:16:26,0.17,0.07,0.99,0.73,0.94,0.21,0.0
2020-09-03 13:16:27,0.17,0.07,0.99,0.87,0.96,0.37,0.0
2020-09-03 13:16:28,0.17,0.07,0.99,2.06,0.7,4.16,0.0
2020-09-03 13:16:29,0.17,0.12,0.98,4.38,1.24,1.99,0.0
2020-09-03 13:16:30,0.17,0.19,0.97,3.7,1.35,5.39,0.0
2020-09-03 13:16:32,0.18,0.16,0.97,0.92,0.39,3.97,0.0
2020-09-03 13:16:33,0.2,0.16,0.97,0.58,0.93,0.6,0.0
2020-09-03 13:16:34,0.19,0.15,0.98,2.12,1.88,6.02,0.0
2020-09-03 13:16:35,0.19,0.16,0.97,0.52,0.77,1.35,0.0
2020-09-03 13:16:36,0.19,0.16,0.97,0.46,0.74,0.76,0.0
2020-09-03 13:16:37,0.19,0.15,0.97,0.71,0.93,0.53,0.0
2020-09-03 13:16:39,0.19,0.15,0.97,0.81,1.09,1.12,0.0
2020-09-03 13:16:40,0.19,0.15,0.97,0.49,0.92,1.04,0.0
2020-09-03 13:16:41,0.19,0.15,0.97,0.59,0.96,0.21,0.0
2020-09-03 13:16:43,0.19,0.15,0.97,0.56,0.94,0.18,0.0
2020-09-03 13:16:44,0.19,0.15,0.97,0.48,0.87,0.21,0.0
2020-09-03 13:16:45,0.2,0.16,0.98,1.33,1.38,0.7,0.0
2020-09-03 13:16:46,0.21,0.2,0.96,5.46,1.41,2.78,0.0
2020-09-03 13:16:47,0.17,0.17,0.98,2.44,1.96,5.54,0.0
2020-09-03 13:16:48,0.2,0.1,0.98,5.49,3.7,5.81,0.0
2020-09-03 13:16:50,0.54,0.34,0.71,22.65,32.55,16.7,0.0
2020-09-03 13:16:51,0.95,0.15,0.2,41.46,24.98,18.15,0.0
2020-09-03 13:16:52,0.99,0.06,0.11,16.48,10.07,10.07,0.0
2020-09-03 13:16:53,0.98,0.09,0.16,28.54,27.58,9.53,0.0
2020-09-03 13:16:54,0.96,0.17,0.09,15.43,5.9,8.56,0.0
2020-09-03 13:16:55,0.99,0.08,0.1,29.23,19.01,12.99,0.0
2020-09-03 13:16:56,0.99,0.13,0.21,33.74,32.41,21.42,0.0
2020-09-03 13:16:58,0.99,0.07,0.07,31.94,10.13,24.12,0.0
2020-09-03 13:16:59,0.94,0.15,0.23,29.24,38.06,24.12,0.0
2020-09-03 13:17:00,0.99,0.07,0.06,23.76,6.03,15.31,0.0
2020-09-03 13:17:01,0.97,0.16,0.13,27.33,12.2,15.31,0.0
2020-09-03 13:17:02,0.98,0.14,0.09,36.18,5.4,15.71,0.0
2020-09-03 13:17:03,0.92,0.34,0.06,17.29,4.59,4.9,0.0
2020-09-03 13:17:04,0.93,0.34,0.08,0.81,0.45,0.52,0.0
2020-09-03 13:17:06,0.94,0.33,0.09,2.79,0.76,1.45,0.0
