date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-14 09:45:22,0.0,0.0,0.06,0.75,0.9,0.42,0.42
2020-09-14 09:45:23,0.1,0.12,0.06,0.75,0.9,0.42,0.42
2020-09-14 09:45:24,0.0,0.0,0.0,0.76,0.92,0.09,0.09
2020-09-14 09:45:24,0.0,0.0,0.0,0.76,0.91,0.1,0.1
2020-09-14 09:45:25,0.0,0.0,0.0,0.79,0.91,0.1,0.1
2020-09-14 09:45:26,0.0,0.0,0.0,0.62,0.93,0.35,0.35
2020-09-14 09:45:27,0.0,0.0,0.0,0.62,0.93,0.12,0.12
2020-09-14 09:45:27,0.0,0.0,0.0,0.79,1.01,0.12,0.12
2020-09-14 09:45:28,0.0,0.0,0.0,0.78,0.76,0.45,0.45
2020-09-14 09:45:29,0.0,0.0,0.0,0.78,0.76,0.45,0.45
2020-09-14 09:45:29,0.0,0.0,0.0,0.75,1.56,0.51,0.51
2020-09-14 09:45:30,0.0,0.0,0.0,0.75,0.92,0.21,0.21
2020-09-14 09:45:31,0.0,0.0,0.0,0.77,0.92,0.21,0.21
2020-09-14 09:45:32,0.0,0.0,0.0,0.76,0.99,0.13,0.13
2020-09-14 09:45:32,0.0,0.0,0.0,0.76,0.99,0.12,0.12
2020-09-14 09:45:33,0.0,0.0,0.0,0.76,0.94,0.12,0.12
2020-09-14 09:45:34,0.0,0.0,0.0,0.77,0.93,0.11,0.11
2020-09-14 09:45:35,0.0,0.0,0.0,0.77,0.93,0.11,0.11
2020-09-14 09:45:35,0.0,0.0,0.0,0.77,0.92,0.09,0.09
2020-09-14 09:45:36,0.0,0.0,0.0,0.76,0.96,0.06,0.06
2020-09-14 09:45:37,0.0,0.0,0.0,0.76,0.96,0.06,0.06
2020-09-14 09:45:37,0.0,0.0,0.0,0.74,1.41,0.29,0.29
2020-09-14 09:45:38,0.0,0.0,0.0,0.74,1.41,0.64,0.64
2020-09-14 09:45:39,0.0,0.0,0.0,0.95,1.96,0.64,0.64
2020-09-14 09:45:40,0.0,0.0,0.0,0.91,1.0,0.54,0.54
2020-09-14 09:45:40,0.0,0.0,0.0,0.91,1.0,0.54,0.54
2020-09-14 09:45:41,0.0,0.0,0.0,0.77,1.07,0.23,0.23
2020-09-14 09:45:42,0.0,0.0,0.0,0.89,1.0,0.31,0.31
2020-09-14 09:45:42,0.0,0.0,0.0,0.89,1.0,0.31,0.31
2020-09-14 09:45:43,0.0,0.0,0.0,0.76,0.97,0.26,0.26
2020-09-14 09:45:44,0.0,0.0,0.0,0.76,0.87,0.16,0.16
2020-09-14 09:45:45,0.0,0.0,0.0,0.76,0.87,0.16,0.16
2020-09-14 09:45:45,0.0,0.0,0.0,0.72,0.95,0.24,0.24
2020-09-14 09:45:46,0.0,0.0,0.0,0.72,0.95,0.24,0.24
2020-09-14 09:45:47,0.0,0.0,0.0,0.81,0.92,0.13,0.13
2020-09-14 09:45:48,0.0,0.0,0.0,0.72,0.91,0.1,0.1
2020-09-14 09:45:48,0.0,0.0,0.0,0.72,0.91,0.1,0.1
2020-09-14 09:45:49,0.0,0.0,0.0,0.76,0.89,0.09,0.09
