date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-18 18:35:07,0.03,0.22,0.17,7.41,5.95,0.12
2020-09-18 18:35:08,0.0,0.04,0.04,0.72,0.91,0.12
2020-09-18 18:35:09,0.0,0.0,0.0,0.8,0.85,0.14
2020-09-18 18:35:10,0.0,0.0,0.0,0.8,0.85,0.14
2020-09-18 18:35:10,0.0,0.0,0.0,0.72,1.01,0.17
2020-09-18 18:35:11,0.0,0.0,0.0,0.74,1.01,0.15
2020-09-18 18:35:12,0.0,0.0,0.0,0.74,1.01,0.15
2020-09-18 18:35:13,0.0,0.0,0.0,2.17,1.38,0.28
2020-09-18 18:35:13,0.0,0.0,0.0,2.17,0.99,0.2
2020-09-18 18:35:14,0.0,0.0,0.0,1.64,0.99,0.2
2020-09-18 18:35:15,0.0,0.0,0.0,0.9,1.63,0.34
2020-09-18 18:35:15,0.0,0.0,0.0,0.9,1.63,0.34
2020-09-18 18:35:16,0.0,0.0,0.0,0.78,0.83,0.21
2020-09-18 18:35:17,0.0,0.0,0.0,1.01,0.74,0.22
2020-09-18 18:35:18,0.0,0.0,0.0,1.01,0.74,0.22
2020-09-18 18:35:18,0.0,0.0,0.0,2.4,1.45,1.36
2020-09-18 18:35:19,0.0,0.0,0.0,2.4,18.42,6.12
2020-09-18 18:35:20,0.03,0.05,0.03,12.35,18.42,6.12
2020-09-18 18:35:20,0.03,0.03,0.04,5.41,12.68,4.14
2020-09-18 18:35:21,0.02,0.03,0.04,5.41,12.68,4.14
2020-09-18 18:35:22,0.0,0.01,0.01,2.54,3.5,1.7
2020-09-18 18:35:23,0.0,0.01,0.0,1.11,0.95,0.37
2020-09-18 18:35:23,0.0,0.0,0.0,1.11,0.95,0.37
2020-09-18 18:35:24,0.0,0.0,0.0,1.2,1.26,0.74
2020-09-18 18:35:25,0.0,0.0,0.0,5.33,3.35,4.08
2020-09-18 18:35:26,0.01,0.01,0.02,5.33,3.35,4.08
2020-09-18 18:35:26,0.03,0.04,0.03,7.93,9.41,9.28
2020-09-18 18:35:27,0.03,0.04,0.03,7.93,11.88,4.64
2020-09-18 18:35:28,0.02,0.02,0.02,3.87,11.88,4.64
2020-09-18 18:35:29,0.01,0.0,0.01,2.75,3.22,1.67
2020-09-18 18:35:29,0.01,0.0,0.01,2.75,3.22,2.26
2020-09-18 18:35:30,0.01,0.0,0.01,4.02,12.28,2.26
2020-09-18 18:35:31,0.01,0.0,0.04,15.96,13.48,5.43
2020-09-18 18:35:31,0.03,0.03,0.04,15.96,13.48,5.43
2020-09-18 18:35:32,0.04,0.04,0.03,8.87,25.66,9.8
2020-09-18 18:35:33,0.04,0.04,0.03,13.6,17.27,7.52
2020-09-18 18:35:34,0.04,0.03,0.04,13.6,17.27,7.52
2020-09-18 18:35:34,0.05,0.03,0.03,5.36,9.27,7.5
2020-09-18 18:35:35,0.05,0.03,0.03,5.36,9.27,7.12
2020-09-18 18:35:36,0.03,0.03,0.05,11.18,7.47,7.12
2020-09-18 18:35:36,0.03,0.03,0.07,18.77,11.67,7.5
2020-09-18 18:35:37,0.07,0.04,0.07,18.77,11.67,7.5
