date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-19 21:50:30,0.0,0.0,0.08,0.76,0.96,0.75,"['2020-09-19 21:50:30', 0.0, 0.0, 0.08, 0.76, 0.96, 0.75, [...]]"
2020-09-19 21:50:31,0.04,0.14,0.08,0.76,0.96,0.75,"['2020-09-19 21:50:31', 0.04, 0.14, 0.08, 0.76, 0.96, 0.75, [...]]"
2020-09-19 21:50:31,0.0,0.0,0.0,0.85,0.88,0.16,"['2020-09-19 21:50:31', 0.0, 0.0, 0.0, 0.85, 0.88, 0.16, [...]]"
2020-09-19 21:50:32,0.0,0.0,0.0,0.85,0.64,0.53,"['2020-09-19 21:50:32', 0.0, 0.0, 0.0, 0.85, 0.64, 0.53, [...]]"
2020-09-19 21:50:33,0.0,0.0,0.0,0.73,0.64,0.53,"['2020-09-19 21:50:33', 0.0, 0.0, 0.0, 0.73, 0.64, 0.53, [...]]"
2020-09-19 21:50:34,0.0,0.0,0.0,1.05,0.91,0.25,"['2020-09-19 21:50:34', 0.0, 0.0, 0.0, 1.05, 0.91, 0.25, [...]]"
2020-09-19 21:50:34,0.0,0.0,0.0,1.05,0.96,0.09,"['2020-09-19 21:50:34', 0.0, 0.0, 0.0, 1.05, 0.96, 0.09, [...]]"
2020-09-19 21:50:35,0.0,0.0,0.0,0.31,0.96,0.09,"['2020-09-19 21:50:35', 0.0, 0.0, 0.0, 0.31, 0.96, 0.09, [...]]"
2020-09-19 21:50:36,0.0,0.0,0.0,0.38,0.86,0.08,"['2020-09-19 21:50:36', 0.0, 0.0, 0.0, 0.38, 0.86, 0.08, [...]]"
2020-09-19 21:50:37,0.0,0.0,0.0,0.38,0.86,0.08,"['2020-09-19 21:50:37', 0.0, 0.0, 0.0, 0.38, 0.86, 0.08, [...]]"
2020-09-19 21:50:37,0.0,0.0,0.0,0.38,0.89,0.09,"['2020-09-19 21:50:37', 0.0, 0.0, 0.0, 0.38, 0.89, 0.09, [...]]"
2020-09-19 21:50:38,0.0,0.0,0.0,0.47,0.87,0.11,"['2020-09-19 21:50:38', 0.0, 0.0, 0.0, 0.47, 0.87, 0.11, [...]]"
2020-09-19 21:50:39,0.0,0.0,0.0,0.47,0.86,0.08,"['2020-09-19 21:50:39', 0.0, 0.0, 0.0, 0.47, 0.86, 0.08, [...]]"
2020-09-19 21:50:40,0.0,0.0,0.0,0.44,0.86,0.08,"['2020-09-19 21:50:40', 0.0, 0.0, 0.0, 0.44, 0.86, 0.08, [...]]"
2020-09-19 21:50:41,0.0,0.0,0.0,0.43,0.92,0.11,"['2020-09-19 21:50:41', 0.0, 0.0, 0.0, 0.43, 0.92, 0.11, [...]]"
2020-09-19 21:50:41,0.0,0.0,0.0,0.43,0.87,0.09,"['2020-09-19 21:50:41', 0.0, 0.0, 0.0, 0.43, 0.87, 0.09, [...]]"
2020-09-19 21:50:42,0.0,0.0,0.0,0.46,0.87,0.09,"['2020-09-19 21:50:42', 0.0, 0.0, 0.0, 0.46, 0.87, 0.09, [...]]"
2020-09-19 21:50:43,0.0,0.0,0.0,0.45,0.92,0.08,"['2020-09-19 21:50:43', 0.0, 0.0, 0.0, 0.45, 0.92, 0.08, [...]]"
2020-09-19 21:50:44,0.0,0.0,0.0,0.45,0.9,0.09,"['2020-09-19 21:50:44', 0.0, 0.0, 0.0, 0.45, 0.9, 0.09, [...]]"
2020-09-19 21:50:45,0.0,0.0,0.0,0.45,0.9,0.09,"['2020-09-19 21:50:45', 0.0, 0.0, 0.0, 0.45, 0.9, 0.09, [...]]"
2020-09-19 21:50:45,0.0,0.0,0.0,1.42,0.98,0.17,"['2020-09-19 21:50:45', 0.0, 0.0, 0.0, 1.42, 0.98, 0.17, [...]]"
