date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-09 16:27:07,0.08,0.01,0.11,-13.49,5.99,-21.58,-21.58
2020-09-09 16:27:08,0.05,-0.03,-0.12,22.86,23.19,-1.88,-1.88
2020-09-09 16:27:09,0.0,-0.01,0.0,4.29,-5.49,7.91,7.91
2020-09-09 16:27:09,-0.03,0.06,-0.14,-16.51,-0.3,-1.01,-1.01
2020-09-09 16:27:10,-0.01,0.0,0.01,2.25,-21.86,11.49,11.49
2020-09-09 16:27:11,-0.03,0.01,0.07,40.46,41.98,10.79,10.79
2020-09-09 16:27:12,0.01,0.0,0.0,-7.61,0.04,6.82,6.82
2020-09-09 16:27:12,0.03,-0.06,0.06,-14.02,14.73,1.87,1.87
2020-09-09 16:27:13,0.02,0.0,-0.04,-17.05,-15.57,-0.98,-0.98
2020-09-09 16:27:14,0.05,-0.02,0.05,5.85,-16.07,0.06,0.06
2020-09-09 16:27:15,0.12,-0.04,-0.1,43.41,14.72,-22.74,-22.74
2020-09-09 16:27:15,0.06,-0.07,0.11,42.44,50.17,12.03,12.03
2020-09-09 16:27:16,0.1,-0.04,-0.14,-11.15,5.91,-18.4,-18.4
2020-09-09 16:27:17,-0.09,-0.06,0.1,12.46,34.92,-9.24,-9.24
2020-09-09 16:27:18,0.0,0.0,-0.03,13.29,18.25,-2.97,-2.97
2020-09-09 16:27:18,0.0,-0.01,-0.02,-13.97,-65.05,11.99,11.99
2020-09-09 16:27:19,-0.08,-0.04,0.08,-69.96,-52.85,-44.63,-44.63
2020-09-09 16:27:20,0.05,-0.01,-0.16,-79.74,-61.63,-7.23,-7.23
2020-09-09 16:27:21,0.01,-0.08,0.14,-6.12,19.56,-5.64,-5.64
2020-09-09 16:27:21,-0.09,0.0,-0.03,-4.23,-27.41,1.5,1.5
2020-09-09 16:27:22,-0.01,-0.06,0.0,9.56,43.2,-0.95,-0.95
2020-09-09 16:27:23,0.03,-0.02,-0.03,-15.39,-18.95,-21.77,-21.77
2020-09-09 16:27:24,-0.08,-0.03,0.09,20.97,40.03,3.5,3.5
2020-09-09 16:27:25,0.05,-0.08,-0.09,-27.22,-13.13,46.7,46.7
2020-09-09 16:27:25,-0.15,-0.12,0.1,-5.23,13.67,-1.94,-1.94
2020-09-09 16:27:26,-0.05,0.0,0.0,0.45,-16.29,49.95,49.95
2020-09-09 16:27:27,0.01,0.18,-0.02,7.53,12.9,4.47,4.47
2020-09-09 16:27:28,-0.01,-0.14,0.09,1.69,30.24,-2.9,-2.9
2020-09-09 16:27:28,-0.09,0.0,0.04,11.62,8.19,-11.85,-11.85
2020-09-09 16:27:29,0.21,-0.1,-0.06,-39.23,-96.13,5.26,5.26
2020-09-09 16:27:30,-0.16,0.0,0.06,-10.86,10.24,-4.04,-4.04
2020-09-09 16:27:31,-0.09,-0.04,0.0,17.51,-30.83,-0.41,-0.41
2020-09-09 16:27:31,-0.09,-0.11,-0.02,-11.36,36.0,28.21,28.21
2020-09-09 16:27:32,-0.04,0.0,0.05,3.96,-36.69,12.37,12.37
2020-09-09 16:27:33,-0.06,-0.01,-0.16,-36.3,-31.55,-23.27,-23.27
2020-09-09 16:27:34,-0.01,-0.07,0.07,-14.06,2.92,-10.4,-10.4
2020-09-09 16:27:34,0.14,-0.09,0.02,-1.89,-37.76,6.71,6.71
2020-09-09 16:27:35,-0.06,-0.08,0.0,-21.28,0.52,8.17,8.17
2020-09-09 16:27:36,-0.11,-0.06,0.06,30.98,-25.13,12.72,12.72
2020-09-09 16:27:37,-0.06,0.11,-0.04,-44.03,11.06,11.68,11.68
2020-09-09 16:27:38,-0.04,0.12,0.13,-13.39,-9.68,-19.42,-19.42
2020-09-09 16:27:38,0.0,0.01,-0.16,-2.61,-17.75,33.55,33.55
2020-09-09 16:27:39,-0.14,-0.02,-0.18,-4.62,5.42,-19.03,-19.03
2020-09-09 16:27:40,0.04,0.02,0.04,65.03,62.32,35.28,35.28
2020-09-09 16:27:41,0.0,0.01,-0.02,18.87,36.57,-19.61,-19.61
2020-09-09 16:27:41,-0.1,-0.09,0.07,3.09,51.04,-11.63,-11.63
2020-09-09 16:27:42,0.01,0.0,-0.06,-3.27,9.75,-21.45,-21.45
2020-09-09 16:27:43,0.04,0.1,0.08,19.57,62.31,10.85,10.85
2020-09-09 16:27:44,0.0,-0.02,-0.13,-5.68,13.97,-16.8,-16.8
2020-09-09 16:27:44,0.05,0.0,0.07,49.73,10.45,5.85,5.85
2020-09-09 16:27:45,0.0,-0.04,-0.01,2.9,-8.63,-0.17,-0.17
2020-09-09 16:27:46,-0.03,0.0,0.0,-28.44,-21.94,-9.71,-9.71
2020-09-09 16:27:46,0.07,0.0,-0.04,-51.35,-51.02,-7.23,-7.23
2020-09-09 16:27:47,0.12,-0.08,0.03,-4.5,-7.89,-5.65,-5.65
2020-09-09 16:27:48,-0.05,0.01,-0.01,4.94,-34.76,9.39,9.39
2020-09-09 16:27:49,-0.01,0.0,0.05,10.06,7.01,5.48,5.48
2020-09-09 16:27:50,-0.1,-0.03,0.14,20.12,-88.62,32.7,32.7
2020-09-09 16:27:50,-0.13,-0.07,-0.02,51.47,0.79,17.13,17.13
2020-09-09 16:27:51,0.02,0.03,0.01,8.74,7.31,-1.3,-1.3
2020-09-09 16:27:52,0.03,0.0,0.01,2.45,4.94,-0.41,-0.41
2020-09-09 16:27:53,-0.01,0.0,0.0,-1.04,0.39,-1.08,-1.08
2020-09-09 16:27:54,-0.01,0.0,0.0,-0.78,-4.65,1.52,1.52
2020-09-09 16:27:55,0.0,-0.01,-0.01,2.13,-0.73,0.81,0.81
2020-09-09 16:28:12,0.0,0.0,0.0,0.9,-0.05,-1.55,-1.55
2020-09-09 16:28:13,0.0,0.0,0.0,0.65,-1.11,-0.21,-0.21
2020-09-09 16:28:15,0.0,0.0,0.0,-0.76,1.94,1.12,1.12
2020-09-09 16:28:16,0.0,0.0,0.0,4.21,8.0,2.81,2.81
2020-09-09 16:28:16,0.0,0.0,0.0,6.49,-1.87,0.45,0.45
2020-09-09 16:28:18,0.0,0.0,0.0,0.64,0.21,-1.08,-1.08
2020-09-09 16:28:20,-0.01,0.01,0.0,7.14,-6.92,-3.39,-3.39
2020-09-09 16:28:21,0.0,-0.01,0.0,2.74,-9.7,9.51,9.51
2020-09-09 16:28:55,-0.12,0.19,0.04,-26.09,9.66,-16.77,-16.77
2020-09-09 16:28:56,0.02,-0.01,0.03,-18.68,6.35,-5.84,-5.84
2020-09-09 16:28:57,0.01,0.0,0.02,-10.38,6.23,-0.83,-0.83
2020-09-09 16:28:58,0.02,0.03,0.04,-10.15,-1.42,0.98,0.98
2020-09-09 16:28:58,0.02,0.04,0.02,-6.17,0.96,2.24,2.24
2020-09-09 16:28:59,0.0,0.0,0.0,0.75,4.18,1.56,1.56
2020-09-09 16:29:00,0.01,0.0,0.0,1.14,0.69,-1.86,-1.86
2020-09-09 16:29:00,0.0,0.0,0.0,0.86,0.32,-0.86,-0.86
2020-09-09 16:29:01,0.02,0.0,0.0,-1.08,0.26,-1.63,-1.63
2020-09-09 16:29:02,0.0,0.0,0.0,-0.16,0.0,-1.04,-1.04
2020-09-09 16:29:03,0.0,0.0,0.0,-0.57,0.26,-1.04,-1.04
2020-09-09 16:29:03,0.0,0.0,0.0,2.1,-0.52,-1.4,-1.4
2020-09-09 16:29:04,0.0,0.0,0.0,1.48,0.02,-1.41,-1.41
2020-09-09 16:29:05,0.0,0.0,0.0,1.06,0.7,-0.97,-0.97
2020-09-09 16:29:05,0.0,0.0,0.0,2.36,-0.07,-0.72,-0.72
2020-09-09 16:29:06,0.0,-0.01,0.0,-0.67,-1.61,1.8,1.8
2020-09-09 16:29:07,0.01,0.02,0.0,2.25,-0.21,-1.39,-1.39
2020-09-09 16:29:08,0.0,0.0,0.0,0.57,0.2,-1.22,-1.22
2020-09-09 16:29:08,0.0,0.0,0.0,1.33,1.2,-3.41,-3.41
2020-09-09 16:29:09,0.0,0.0,0.0,1.15,0.31,-0.54,-0.54
2020-09-09 16:29:10,0.0,0.0,0.0,1.53,0.15,-1.14,-1.14
2020-09-09 16:29:11,0.0,0.0,0.0,1.45,0.1,-1.43,-1.43
2020-09-09 16:29:12,0.0,0.0,0.0,0.01,0.31,-1.17,-1.17
2020-09-09 16:29:12,0.0,0.0,0.0,0.82,0.09,-1.53,-1.53
2020-09-09 16:29:13,0.0,0.0,0.0,0.78,0.1,-1.47,-1.47
2020-09-09 16:29:14,0.0,0.0,0.0,1.29,0.22,-1.18,-1.18
2020-09-09 16:29:15,0.0,0.0,0.0,1.31,0.04,-1.4,-1.4
2020-09-09 16:29:15,0.0,0.0,0.0,0.09,0.64,-1.37,-1.37
2020-09-09 16:29:16,0.0,0.0,0.0,1.64,-0.24,-0.42,-0.42
2020-09-09 16:29:17,0.0,0.01,0.0,0.89,-0.06,-1.3,-1.3
2020-09-09 16:29:17,0.0,0.0,0.0,0.26,0.16,-1.17,-1.17
2020-09-09 16:29:18,0.0,0.0,0.0,0.49,0.22,-1.42,-1.42
2020-09-09 16:29:19,0.0,0.0,0.0,0.98,-0.36,-1.43,-1.43
2020-09-09 16:29:20,0.0,0.0,0.0,0.98,0.32,-1.16,-1.16
2020-09-09 16:29:20,0.0,0.0,0.0,1.25,0.04,-0.99,-0.99
2020-09-09 16:29:21,0.0,0.0,0.0,0.88,-0.04,-1.51,-1.51
2020-09-09 16:29:22,0.0,-0.01,0.0,2.25,-1.47,1.53,1.53
2020-09-09 16:29:23,0.0,0.0,0.0,-0.03,0.28,-1.26,-1.26
2020-09-09 16:29:23,0.0,0.0,0.0,0.95,0.45,-3.91,-3.91
2020-09-09 16:29:24,0.0,0.0,0.0,0.36,0.41,-0.85,-0.85
2020-09-09 16:29:25,0.0,0.0,0.0,0.51,0.13,-1.15,-1.15
2020-09-09 16:29:26,0.0,0.0,0.0,0.95,0.12,-1.28,-1.28
2020-09-09 16:29:26,0.0,0.0,0.0,4.05,-0.26,-2.52,-2.52
2020-09-09 16:29:27,0.0,-0.01,0.0,-0.36,-0.18,-1.92,-1.92
2020-09-09 16:29:28,0.0,0.01,0.0,0.41,-0.15,-1.21,-1.21
2020-09-09 16:29:28,0.0,0.0,0.0,1.06,-1.43,-1.37,-1.37
2020-09-09 16:29:29,0.0,0.0,0.0,1.25,0.0,-1.28,-1.28
2020-09-09 16:29:30,0.0,0.0,0.0,0.84,0.07,-1.37,-1.37
2020-09-09 16:29:31,0.0,0.0,0.0,0.75,0.03,-1.4,-1.4
2020-09-09 16:29:31,0.0,0.0,0.0,0.85,0.07,-1.36,-1.36
2020-09-09 16:29:32,0.0,0.0,0.0,0.86,0.01,-1.33,-1.33
2020-09-09 16:29:33,0.0,0.0,0.0,0.93,0.0,-1.36,-1.36
2020-09-09 16:29:34,0.0,0.0,0.0,-0.78,-2.05,-2.45,-2.45
2020-09-09 16:29:34,0.0,0.0,0.0,3.38,-1.86,-2.49,-2.49
2020-09-09 16:29:35,0.0,0.0,0.0,0.96,-0.83,-1.64,-1.64
2020-09-09 16:29:36,0.0,0.02,0.0,5.68,-0.24,-2.24,-2.24
2020-09-09 16:29:37,0.0,-0.01,0.0,2.62,-0.36,-1.66,-1.66
2020-09-09 16:29:37,0.0,0.0,0.0,1.55,-0.09,-2.3,-2.3
2020-09-09 16:29:38,0.0,0.01,0.0,1.69,0.7,-1.25,-1.25
2020-09-09 16:29:39,0.0,-0.02,-0.01,8.42,0.1,-0.89,-0.89
2020-09-09 16:29:40,0.0,0.01,0.0,2.25,-0.98,-0.32,-0.32
2020-09-09 16:29:40,-0.01,0.05,0.0,0.34,3.43,-2.74,-2.74
2020-09-09 16:29:41,0.0,0.0,0.0,2.05,-0.14,2.14,2.14
2020-09-09 16:29:42,-0.01,0.01,0.0,6.49,-1.87,-1.36,-1.36
2020-09-09 16:29:42,0.0,0.0,0.0,-2.74,0.61,-1.33,-1.33
2020-09-09 16:29:43,-0.02,0.0,0.01,-0.42,0.62,-2.17,-2.17
2020-09-09 16:29:44,0.0,-0.01,0.01,-0.41,-0.11,-1.38,-1.38
2020-09-09 16:29:45,-0.01,0.01,0.0,0.76,-0.99,-1.11,-1.11
2020-09-09 16:29:45,0.0,0.0,0.0,0.64,0.12,-0.2,-0.2
2020-09-09 16:29:46,0.0,0.0,0.0,6.0,-1.56,-1.39,-1.39
2020-09-09 16:29:47,0.0,0.0,0.0,-1.57,1.86,-0.02,-0.02
2020-09-09 16:29:48,0.01,0.01,0.0,1.35,2.87,2.32,2.32
2020-09-09 16:29:49,0.04,-0.01,0.0,-0.08,-0.41,-4.72,-4.72
2020-09-09 16:29:49,0.0,0.0,0.0,0.72,0.52,-1.45,-1.45
2020-09-09 16:29:50,0.0,0.0,0.0,0.03,0.51,-1.4,-1.4
2020-09-09 16:29:51,0.0,0.0,0.0,1.84,1.51,-1.06,-1.06
2020-09-09 16:29:51,0.0,0.0,0.0,1.05,-0.07,-1.1,-1.1
2020-09-09 16:29:52,0.0,0.0,0.0,1.3,0.21,-1.47,-1.47
2020-09-09 16:29:53,0.0,0.0,0.0,0.34,-0.09,-1.81,-1.81
2020-09-09 16:29:54,0.0,0.0,0.0,0.62,0.45,-0.65,-0.65
2020-09-09 16:29:54,0.0,0.0,0.0,2.27,-0.1,-1.47,-1.47
2020-09-09 16:29:55,0.0,0.0,0.0,0.03,-0.02,-0.85,-0.85
2020-09-09 16:29:56,0.0,0.0,0.0,0.08,0.06,-1.5,-1.5
2020-09-09 16:29:57,0.0,0.0,0.0,0.71,0.18,-1.36,-1.36
2020-09-09 16:29:57,0.0,0.0,0.0,0.7,0.24,-1.0,-1.0
2020-09-09 16:29:58,0.0,0.0,0.0,3.12,-0.16,-0.88,-0.88
2020-09-09 16:29:59,0.0,0.0,0.0,-0.18,0.15,-1.59,-1.59
2020-09-09 16:29:59,0.0,0.0,0.0,1.75,-0.5,0.17,0.17
2020-09-09 16:30:00,0.0,0.0,0.0,0.47,0.06,-1.99,-1.99
2020-09-09 16:30:01,0.0,0.0,0.0,1.14,0.57,-5.24,-5.24
2020-09-09 16:30:02,-0.01,0.0,0.0,1.42,0.62,-1.19,-1.19
2020-09-09 16:30:03,0.0,0.0,0.0,1.57,0.32,-0.75,-0.75
2020-09-09 16:30:03,0.0,0.0,0.0,1.31,-0.01,-1.22,-1.22
2020-09-09 16:30:04,0.0,0.0,0.0,0.89,0.2,-1.0,-1.0
2020-09-09 16:30:05,0.0,0.0,0.0,2.84,0.11,-1.31,-1.31
2020-09-09 16:30:06,0.0,0.0,0.0,0.95,-0.59,0.14,0.14
2020-09-09 16:30:06,0.0,0.0,0.0,0.81,0.1,-1.35,-1.35
2020-09-09 16:30:07,0.0,0.0,0.0,1.23,0.18,-1.55,-1.55
2020-09-09 16:30:08,0.0,0.0,0.0,0.18,0.07,-1.06,-1.06
2020-09-09 16:30:09,0.0,0.0,0.0,1.33,0.2,-1.22,-1.22
2020-09-09 16:30:09,0.0,0.0,0.0,0.67,0.17,-1.44,-1.44
2020-09-09 16:30:10,0.0,0.0,0.0,0.37,0.12,-1.26,-1.26
2020-09-09 16:30:11,0.0,0.0,0.0,0.03,1.0,-3.7,-3.7
2020-09-09 16:30:11,0.0,-0.01,0.0,4.17,-0.04,-1.12,-1.12
2020-09-09 16:30:12,0.0,0.01,0.0,1.41,-0.17,-1.26,-1.26
2020-09-09 16:30:13,0.0,0.0,0.0,0.15,0.07,-1.21,-1.21
2020-09-09 16:30:14,0.0,0.0,0.0,0.84,0.14,-1.32,-1.32
2020-09-09 16:30:14,0.0,0.0,0.0,0.83,0.14,-1.19,-1.19
2020-09-09 16:30:15,0.0,0.0,0.0,1.47,-0.04,-1.36,-1.36
2020-09-09 16:30:16,0.0,0.0,0.0,0.89,0.06,-1.25,-1.25
2020-09-09 16:30:17,0.0,0.0,0.0,0.84,0.12,-1.39,-1.39
2020-09-09 16:30:17,0.0,0.0,0.0,0.76,0.26,-1.55,-1.55
2020-09-09 16:30:18,0.0,0.0,0.0,0.11,0.12,-1.55,-1.55
2020-09-09 16:30:19,0.0,0.0,0.0,0.76,0.16,-1.44,-1.44
2020-09-09 16:30:20,0.0,0.0,0.0,1.19,0.15,-1.14,-1.14
2020-09-09 16:30:20,0.0,0.0,0.0,0.39,-0.01,-1.31,-1.31
2020-09-09 16:30:21,0.0,0.0,0.0,1.01,0.07,-1.3,-1.3
2020-09-09 16:30:22,0.0,0.0,0.0,1.89,-0.36,3.37,3.37
2020-09-09 16:30:23,0.0,-0.02,0.0,-3.99,0.46,-0.11,-0.11
2020-09-09 16:30:23,0.0,0.0,0.0,-1.06,0.33,-1.5,-1.5
2020-09-09 16:30:24,0.0,0.0,0.0,1.73,-0.09,-2.02,-2.02
2020-09-09 16:30:25,0.0,0.0,0.0,1.33,0.73,-4.21,-4.21
2020-09-09 16:30:26,0.0,0.0,0.0,1.0,0.31,-1.91,-1.91
2020-09-09 16:30:26,0.0,0.0,0.0,-0.97,0.28,-2.81,-2.81
2020-09-09 16:30:27,0.0,0.0,0.0,0.68,0.1,-1.05,-1.05
2020-09-09 16:30:28,0.0,0.0,0.0,0.04,0.13,-0.79,-0.79
2020-09-09 16:30:29,0.0,0.0,0.0,0.23,0.2,-1.25,-1.25
2020-09-09 16:30:30,0.0,0.0,0.0,1.15,0.07,-1.33,-1.33
2020-09-09 16:30:30,0.0,0.0,0.0,1.01,0.0,-1.29,-1.29
2020-09-09 16:30:31,0.0,0.0,0.0,2.08,-0.25,-2.59,-2.59
2020-09-09 16:30:32,0.0,0.0,0.0,0.64,0.09,-1.72,-1.72
2020-09-09 16:30:33,0.0,0.0,0.0,0.78,0.19,-1.48,-1.48
2020-09-09 16:30:33,0.0,0.0,0.0,0.78,0.36,-3.35,-3.35
2020-09-09 16:30:34,0.0,0.0,0.0,0.09,0.34,-1.52,-1.52
2020-09-09 16:30:35,0.0,0.0,0.0,1.23,0.04,-1.14,-1.14
2020-09-09 16:30:36,0.0,0.01,0.0,3.01,0.15,-1.65,-1.65
2020-09-09 16:30:37,0.0,0.0,0.0,0.86,0.37,-0.86,-0.86
2020-09-09 16:30:37,0.0,0.01,0.0,0.28,0.1,-1.52,-1.52
2020-09-09 16:30:38,0.0,0.0,0.0,1.04,0.41,-0.8,-0.8
2020-09-09 16:30:39,0.0,0.0,0.0,0.12,0.43,-0.47,-0.47
