date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-09 22:31:35,0.08,0.08,0.16,1.33,0.84,1.49,1.49
2020-09-09 22:31:36,0.03,0.03,0.05,1.63,1.49,1.49,1.49
2020-09-09 22:31:36,0.03,0.0,0.0,1.43,0.94,1.12,1.12
2020-09-09 22:31:37,0.0,0.0,0.0,1.43,4.78,1.66,1.66
2020-09-09 22:31:38,0.02,0.01,0.01,3.55,4.78,1.66,1.66
2020-09-09 22:31:39,0.03,0.04,0.02,7.61,12.88,6.69,6.69
2020-09-09 22:31:39,0.03,0.04,0.02,7.61,26.87,18.58,18.58
2020-09-09 22:31:40,0.08,0.05,0.06,17.83,26.87,18.58,18.58
2020-09-09 22:31:41,0.14,0.19,0.13,36.96,24.72,25.73,25.73
2020-09-09 22:31:42,0.14,0.19,0.13,36.96,34.47,17.87,17.87
2020-09-09 22:31:43,0.1,0.1,0.09,23.06,34.47,17.87,17.87
2020-09-09 22:31:43,0.05,0.03,0.05,4.87,15.23,5.36,5.36
2020-09-09 22:31:44,0.05,0.03,0.05,4.87,15.23,12.79,12.79
2020-09-09 22:31:45,0.09,0.08,0.07,23.15,33.79,12.79,12.79
2020-09-09 22:31:45,0.09,0.14,0.12,35.36,44.89,28.93,28.93
2020-09-09 22:31:46,0.13,0.14,0.12,35.36,44.89,26.75,26.75
2020-09-09 22:31:47,0.16,0.16,0.14,32.72,23.87,26.75,26.75
2020-09-09 22:31:48,0.16,0.28,0.15,41.22,50.11,29.24,29.24
2020-09-09 22:31:49,0.17,0.28,0.15,41.22,50.11,29.24,29.24
2020-09-09 22:31:49,0.16,0.2,0.11,43.32,29.08,32.98,32.98
2020-09-09 22:31:50,0.16,0.2,0.07,28.24,20.25,14.15,14.15
2020-09-09 22:31:51,0.1,0.14,0.07,28.24,20.25,14.15,14.15
2020-09-09 22:31:52,0.23,0.19,0.13,38.63,48.07,18.14,18.14
2020-09-09 22:31:52,0.23,0.19,0.13,24.04,32.47,13.42,13.42
2020-09-09 22:31:53,0.12,0.17,0.11,24.04,32.47,13.42,13.42
2020-09-09 22:31:54,0.15,0.18,0.08,23.0,22.45,15.11,15.11
2020-09-09 22:31:54,0.15,0.18,0.08,23.0,33.62,23.5,23.5
2020-09-09 22:31:55,0.16,0.13,0.13,33.06,33.62,23.5,23.5
2020-09-09 22:31:56,0.16,0.13,0.08,31.83,31.37,29.69,29.69
2020-09-09 22:31:57,0.11,0.13,0.08,31.83,31.37,22.93,22.93
2020-09-09 22:31:57,0.25,0.23,0.15,48.19,36.78,22.93,22.93
2020-09-09 22:31:58,0.25,0.23,0.13,37.51,39.06,22.81,22.81
2020-09-09 22:31:59,0.25,0.22,0.13,37.51,39.06,22.81,22.81
2020-09-09 22:32:00,0.23,0.23,0.15,37.91,37.51,30.4,30.4
2020-09-09 22:32:00,0.23,0.23,0.15,54.79,33.14,28.77,28.77
2020-09-09 22:32:01,0.2,0.27,0.14,54.79,33.14,28.77,28.77
2020-09-09 22:32:02,0.11,0.12,0.09,34.91,15.34,25.54,25.54
2020-09-09 22:32:03,0.11,0.12,0.09,22.75,23.62,18.05,18.05
2020-09-09 22:32:03,0.15,0.11,0.08,22.75,23.62,18.05,18.05
2020-09-09 22:32:04,0.22,0.2,0.15,43.98,38.42,30.92,30.92
2020-09-09 22:32:05,0.22,0.2,0.14,49.57,44.53,32.96,32.96
2020-09-09 22:32:06,0.21,0.23,0.14,49.57,44.53,32.96,32.96
2020-09-09 22:32:07,0.17,0.14,0.11,37.08,28.42,14.7,14.7
2020-09-09 22:32:07,0.17,0.14,0.11,37.02,30.28,19.77,19.77
2020-09-09 22:32:08,0.14,0.11,0.11,37.02,30.28,19.77,19.77
2020-09-09 22:32:09,0.13,0.17,0.08,31.28,42.13,27.14,27.14
2020-09-09 22:32:09,0.13,0.17,0.12,29.56,33.6,26.58,26.58
2020-09-09 22:32:10,0.14,0.19,0.12,29.56,33.6,26.58,26.58
2020-09-09 22:32:11,0.26,0.26,0.14,54.97,51.63,16.19,16.19
2020-09-09 22:32:12,0.26,0.07,0.06,29.0,19.76,11.5,11.5
2020-09-09 22:32:13,0.08,0.07,0.06,29.0,19.76,11.5,11.5
2020-09-09 22:32:13,0.19,0.1,0.1,32.58,11.81,45.76,45.76
2020-09-09 22:32:14,0.19,0.1,0.07,13.62,4.91,7.48,7.48
2020-09-09 22:32:15,0.07,0.08,0.07,13.62,4.91,5.22,5.22
2020-09-09 22:32:16,0.05,0.07,0.04,8.07,5.67,5.22,5.22
2020-09-09 22:32:17,0.02,0.03,0.01,4.28,3.31,2.92,2.92
2020-09-09 22:32:17,0.02,0.03,0.01,4.28,0.83,2.03,2.03
2020-09-09 22:32:18,0.01,0.01,0.0,2.19,0.83,2.03,2.03
2020-09-09 22:32:19,0.0,0.0,0.0,1.52,0.6,1.27,1.27
2020-09-09 22:32:20,0.0,0.02,0.01,2.75,1.67,1.99,1.99
2020-09-09 22:32:21,0.02,0.02,0.01,2.75,1.67,1.35,1.35
2020-09-09 22:32:22,0.01,0.01,0.0,1.82,1.12,1.35,1.35
2020-09-09 22:32:22,0.01,0.01,0.0,1.46,0.96,1.24,1.24
2020-09-09 22:32:23,0.0,0.01,0.0,1.46,0.96,1.52,1.52
2020-09-09 22:32:24,0.0,0.01,0.0,1.79,0.66,1.52,1.52
2020-09-09 22:32:25,0.0,0.0,0.0,1.78,1.25,1.45,1.45
2020-09-09 22:32:25,0.0,0.0,0.0,1.78,1.25,1.43,1.43
