date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 12:21:15,0.05,0.4,0.9,0.7,0.91,0.46,0.46
2020-09-11 12:21:16,0.05,0.37,0.92,0.16,0.95,0.14,0.14
2020-09-11 12:21:16,0.05,0.37,0.92,1.07,1.86,1.73,1.73
2020-09-11 12:21:17,0.06,0.37,0.92,1.07,1.86,1.73,1.73
2020-09-11 12:21:18,0.1,0.28,0.95,12.04,11.03,5.43,5.43
2020-09-11 12:21:19,0.1,0.28,0.95,12.04,11.03,2.91,2.91
2020-09-11 12:21:19,0.03,0.25,0.96,1.12,1.46,2.91,2.91
2020-09-11 12:21:20,0.03,0.26,0.95,17.32,10.58,15.92,15.92
2020-09-11 12:21:21,0.1,0.26,0.95,17.32,10.58,15.92,15.92
2020-09-11 12:21:22,0.06,0.28,0.95,2.51,2.17,1.2,1.2
2020-09-11 12:21:22,0.06,0.28,0.96,18.63,7.27,12.99,12.99
2020-09-11 12:21:23,0.06,0.27,0.96,18.63,7.27,12.99,12.99
2020-09-11 12:21:24,0.04,0.21,0.97,1.25,1.25,3.04,3.04
2020-09-11 12:21:25,0.04,0.21,0.97,9.04,17.09,11.11,11.11
2020-09-11 12:21:25,0.08,0.21,0.94,9.04,17.09,11.11,11.11
2020-09-11 12:21:26,0.05,0.19,1.0,5.48,5.92,3.1,3.1
2020-09-11 12:21:27,0.05,0.19,1.0,5.48,8.54,8.25,8.25
2020-09-11 12:21:28,0.09,0.21,0.93,12.84,8.54,8.25,8.25
2020-09-11 12:21:28,0.09,0.24,1.0,5.05,5.13,3.25,3.25
2020-09-11 12:21:29,0.05,0.24,1.0,5.05,5.13,9.58,9.58
2020-09-11 12:21:30,0.06,0.21,0.96,9.04,4.84,9.58,9.58
2020-09-11 12:21:30,0.06,0.21,0.98,5.55,4.41,3.5,3.5
2020-09-11 12:21:31,0.05,0.23,0.98,5.55,4.41,3.5,3.5
2020-09-11 12:21:32,0.11,0.28,0.95,6.38,5.53,6.36,6.36
2020-09-11 12:21:33,0.11,0.28,0.95,2.28,3.49,2.79,2.79
2020-09-11 12:21:33,0.11,0.29,0.95,2.28,3.49,2.79,2.79
2020-09-11 12:21:34,0.14,0.27,0.94,13.66,10.57,13.16,13.16
2020-09-11 12:21:35,0.14,0.27,0.94,4.89,3.09,4.18,4.18
2020-09-11 12:21:36,0.11,0.29,0.97,4.89,3.09,4.18,4.18
2020-09-11 12:21:36,0.13,0.19,0.95,16.01,6.44,10.01,10.01
2020-09-11 12:21:37,0.13,0.19,0.95,16.01,3.15,3.03,3.03
2020-09-11 12:21:38,0.14,0.15,0.97,2.55,3.15,3.03,3.03
2020-09-11 12:21:39,0.15,0.26,0.95,14.61,10.46,17.8,17.8
2020-09-11 12:21:39,0.15,0.26,0.95,14.61,10.46,4.5,4.5
2020-09-11 12:21:40,0.09,0.32,0.93,1.5,0.84,4.5,4.5
2020-09-11 12:21:41,0.09,0.32,0.94,23.36,12.9,9.7,9.7
2020-09-11 12:21:42,0.14,0.26,0.94,23.36,12.9,9.7,9.7
2020-09-11 12:21:42,0.13,0.15,0.98,2.55,3.01,3.16,3.16
2020-09-11 12:21:43,0.13,0.15,0.98,4.38,3.96,5.62,5.62
2020-09-11 12:21:44,0.13,0.16,0.98,4.38,3.96,5.62,5.62
2020-09-11 12:21:45,0.15,0.35,0.91,22.06,11.68,14.08,14.08
2020-09-11 12:21:45,0.15,0.35,0.94,4.67,2.5,0.99,0.99
2020-09-11 12:21:46,0.1,0.35,0.94,4.67,2.5,0.99,0.99
2020-09-11 12:21:47,0.12,0.28,0.93,20.19,13.29,8.61,8.61
2020-09-11 12:21:48,0.12,0.28,0.95,11.94,4.02,18.59,18.59
2020-09-11 12:21:48,0.11,0.27,0.95,11.94,4.02,18.59,18.59
2020-09-11 12:21:49,0.1,0.24,0.95,10.82,10.5,8.64,8.64
2020-09-11 12:21:50,0.1,0.24,0.95,21.25,12.32,15.42,15.42
2020-09-11 12:21:51,0.11,0.32,0.94,21.25,12.32,15.42,15.42
2020-09-11 12:21:51,0.09,0.22,0.95,10.32,10.59,3.88,3.88
2020-09-11 12:21:52,0.09,0.22,0.95,10.32,10.59,10.34,10.34
2020-09-11 12:21:53,0.1,0.27,0.97,14.58,9.59,10.34,10.34
2020-09-11 12:21:53,0.1,0.27,0.94,4.16,6.36,3.87,3.87
2020-09-11 12:21:54,0.03,0.3,0.94,4.16,6.36,13.13,13.13
2020-09-11 12:21:55,0.09,0.24,0.96,6.19,9.03,13.13,13.13
2020-09-11 12:21:56,0.09,0.24,0.96,1.13,0.85,1.58,1.58
2020-09-11 12:21:56,0.04,0.26,0.96,1.13,0.85,1.58,1.58
2020-09-11 12:21:57,0.1,0.26,0.95,16.04,11.87,11.87,11.87
