date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 12:18:46,0.66,0.21,0.96,2.44,1.28,1.16,1.16
2020-09-11 12:18:47,0.06,0.21,0.96,2.44,1.28,1.02,1.02
2020-09-11 12:18:47,0.04,0.22,0.97,1.18,1.51,1.02,1.02
2020-09-11 12:18:48,0.04,0.22,0.97,2.76,2.6,3.71,3.71
2020-09-11 12:18:49,0.04,0.22,0.97,2.76,2.6,3.71,3.71
2020-09-11 12:18:49,0.04,0.24,0.97,2.51,1.65,1.29,1.29
2020-09-11 12:18:50,0.04,0.24,0.96,0.89,1.15,1.44,1.44
2020-09-11 12:18:51,0.03,0.25,0.96,0.89,1.15,1.44,1.44
2020-09-11 12:18:52,0.02,0.25,0.97,3.07,2.07,1.79,1.79
2020-09-11 12:18:53,0.02,0.25,0.97,1.86,2.64,1.43,1.43
2020-09-11 12:18:53,0.03,0.22,0.97,1.86,2.64,1.43,1.43
2020-09-11 12:18:54,0.01,0.25,0.96,1.64,2.26,1.85,1.85
2020-09-11 12:18:55,0.01,0.25,0.96,2.11,2.85,1.29,1.29
2020-09-11 12:18:56,0.03,0.23,0.97,2.11,2.85,1.29,1.29
2020-09-11 12:18:56,0.03,0.2,0.98,1.85,1.82,1.88,1.88
2020-09-11 12:18:57,0.03,0.2,0.97,2.12,0.86,1.19,1.19
2020-09-11 12:18:58,0.03,0.22,0.97,2.12,0.86,1.19,1.19
2020-09-11 12:18:59,0.02,0.25,0.96,1.19,1.48,0.68,0.68
2020-09-11 12:18:59,0.02,0.25,0.96,1.27,1.51,1.14,1.14
2020-09-11 12:19:00,0.04,0.24,0.97,1.27,1.51,1.39,1.39
2020-09-11 12:19:01,0.04,0.21,0.97,1.7,1.73,1.39,1.39
2020-09-11 12:19:02,0.04,0.24,0.97,1.68,1.27,0.81,0.81
2020-09-11 12:19:03,0.03,0.24,0.97,1.68,1.27,0.63,0.63
2020-09-11 12:19:03,0.03,0.24,0.97,2.42,1.77,0.63,0.63
2020-09-11 12:19:04,0.03,0.2,0.97,1.16,1.3,0.99,0.99
2020-09-11 12:19:05,0.03,0.2,0.97,1.16,1.3,0.94,0.94
2020-09-11 12:19:06,0.03,0.21,0.97,1.38,1.05,0.94,0.94
2020-09-11 12:19:06,0.03,0.23,0.97,0.75,1.12,0.79,0.79
2020-09-11 12:19:07,0.02,0.23,0.97,0.75,1.12,0.57,0.57
2020-09-11 12:19:08,0.03,0.21,0.98,1.61,1.83,0.57,0.57
2020-09-11 12:19:09,0.02,0.19,0.98,1.17,1.31,1.26,1.26
2020-09-11 12:19:10,0.02,0.19,0.98,1.17,1.31,1.04,1.04
2020-09-11 12:19:10,0.02,0.22,0.97,2.01,0.95,1.04,1.04
2020-09-11 12:19:11,0.02,0.23,0.97,1.14,1.19,0.51,0.51
2020-09-11 12:19:12,0.01,0.23,0.97,1.14,1.19,0.51,0.51
2020-09-11 12:19:13,0.03,0.2,0.98,1.27,1.97,0.7,0.7
2020-09-11 12:19:13,0.03,0.2,0.98,1.08,1.18,1.05,1.05
2020-09-11 12:19:14,0.03,0.19,0.98,1.08,1.18,1.05,1.05
2020-09-11 12:19:15,0.02,0.23,0.97,1.71,1.17,0.97,0.97
2020-09-11 12:19:15,0.02,0.23,0.97,1.94,1.69,0.9,0.9
2020-09-11 12:19:16,0.03,0.21,0.97,1.94,1.69,0.9,0.9
2020-09-11 12:19:17,0.02,0.19,0.98,1.58,1.67,1.2,1.2
2020-09-11 12:19:18,0.02,0.19,0.97,2.1,1.14,1.07,1.07
2020-09-11 12:19:19,0.02,0.22,0.97,2.1,1.14,1.65,1.65
2020-09-11 12:19:19,0.02,0.22,0.97,1.55,1.31,1.65,1.65
2020-09-11 12:19:20,0.02,0.18,0.98,2.18,2.07,1.33,1.33
2020-09-11 12:19:21,0.02,0.2,0.98,1.55,1.24,0.89,0.89
2020-09-11 12:19:22,0.02,0.2,0.98,1.55,1.0,0.9,0.9
2020-09-11 12:19:23,0.01,0.23,0.97,1.34,1.0,0.9,0.9
2020-09-11 12:19:24,0.02,0.19,0.98,3.02,1.73,1.62,1.62
