date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 12:19:53,0.0,0.29,0.95,0.24,0.92,0.28,0.28
2020-09-11 12:19:53,0.03,0.29,0.95,0.24,0.92,0.28,0.28
2020-09-11 12:19:54,0.08,0.3,0.94,4.8,16.64,17.33,17.33
2020-09-11 12:19:55,0.08,0.3,0.94,11.3,22.7,8.22,8.22
2020-09-11 12:19:56,0.38,0.27,0.84,11.3,22.7,8.22,8.22
2020-09-11 12:19:56,0.26,0.33,0.9,0.63,1.06,1.53,1.53
2020-09-11 12:19:57,0.26,0.33,0.9,0.63,11.3,9.7,9.7
2020-09-11 12:19:58,0.29,0.31,0.89,6.74,11.3,9.7,9.7
2020-09-11 12:19:59,0.12,0.32,0.94,4.15,6.59,4.99,4.99
2020-09-11 12:19:59,0.12,0.32,0.94,4.15,6.59,8.75,8.75
2020-09-11 12:20:00,0.09,0.4,0.9,4.81,4.42,8.75,8.75
2020-09-11 12:20:01,0.09,0.39,0.91,3.89,3.57,6.04,6.04
2020-09-11 12:20:01,0.09,0.39,0.91,3.89,3.57,6.04,6.04
2020-09-11 12:20:02,0.21,0.29,0.9,7.51,21.75,12.23,12.23
2020-09-11 12:20:03,0.21,0.34,0.85,8.62,13.7,4.35,4.35
2020-09-11 12:20:04,0.37,0.34,0.85,8.62,13.7,0.85,0.85
2020-09-11 12:20:05,0.32,0.35,0.86,0.54,1.31,0.85,0.85
2020-09-11 12:20:05,0.32,0.33,0.84,7.47,19.4,9.18,9.18
2020-09-11 12:20:06,0.37,0.33,0.84,7.47,11.21,6.49,6.49
2020-09-11 12:20:07,0.08,0.33,0.94,7.14,11.21,6.49,6.49
2020-09-11 12:20:08,0.06,0.4,0.9,2.11,2.39,2.6,2.6
2020-09-11 12:20:09,0.06,0.4,0.9,2.11,3.98,6.0,6.0
2020-09-11 12:20:09,0.07,0.36,0.92,4.64,3.98,6.0,6.0
2020-09-11 12:20:10,0.07,0.28,0.88,6.74,27.34,7.9,7.9
2020-09-11 12:20:11,0.28,0.28,0.88,6.74,27.34,5.46,5.46
2020-09-11 12:20:11,0.31,0.36,0.87,5.27,13.94,5.46,5.46
2020-09-11 12:20:12,0.31,0.36,0.88,1.14,1.81,1.0,1.0
2020-09-11 12:20:13,0.27,0.36,0.88,1.14,1.81,4.9,4.9
2020-09-11 12:20:14,0.3,0.33,0.87,5.3,18.72,4.9,4.9
2020-09-11 12:20:15,0.3,0.36,0.92,6.19,4.35,6.56,6.56
2020-09-11 12:20:15,0.07,0.36,0.92,6.19,4.35,1.34,1.34
2020-09-11 12:20:16,0.08,0.39,0.9,1.41,1.62,1.34,1.34
2020-09-11 12:20:17,0.08,0.39,0.91,4.84,3.02,4.96,4.96
2020-09-11 12:20:18,0.08,0.38,0.91,4.84,3.02,4.96,4.96
2020-09-11 12:20:18,0.25,0.31,0.88,5.85,24.38,4.61,4.61
2020-09-11 12:20:19,0.25,0.35,0.86,3.59,8.73,3.99,3.99
2020-09-11 12:20:20,0.34,0.35,0.86,3.59,8.73,0.68,0.68
2020-09-11 12:20:21,0.32,0.36,0.86,0.67,0.91,0.68,0.68
2020-09-11 12:20:22,0.32,0.35,0.85,6.17,15.9,5.96,5.96
2020-09-11 12:20:22,0.35,0.35,0.85,6.17,15.9,5.96,5.96
2020-09-11 12:20:23,0.1,0.33,0.93,5.66,7.7,6.28,6.28
2020-09-11 12:20:24,0.1,0.33,0.91,2.64,2.53,1.28,1.28
2020-09-11 12:20:24,0.09,0.38,0.91,2.64,2.53,1.28,1.28
2020-09-11 12:20:25,0.1,0.36,0.91,2.08,1.9,2.38,2.38
2020-09-11 12:20:26,0.1,0.36,0.91,6.39,23.92,4.54,4.54
2020-09-11 12:20:27,0.21,0.3,0.9,6.39,23.92,4.54,4.54
2020-09-11 12:20:27,0.36,0.35,0.84,4.66,14.4,6.74,6.74
2020-09-11 12:20:28,0.36,0.35,0.84,0.73,0.83,1.15,1.15
2020-09-11 12:20:29,0.3,0.38,0.86,0.73,0.83,1.15,1.15
2020-09-11 12:20:30,0.35,0.37,0.84,5.05,15.13,7.37,7.37
2020-09-11 12:20:30,0.35,0.37,0.84,5.05,11.27,5.66,5.66
2020-09-11 12:20:31,0.09,0.35,0.92,8.68,11.27,5.66,5.66
2020-09-11 12:20:32,0.08,0.42,0.89,1.7,2.48,1.65,1.65
2020-09-11 12:20:33,0.08,0.42,0.89,1.7,2.48,2.19,2.19
2020-09-11 12:20:33,0.08,0.41,0.9,1.56,1.9,2.19,2.19
2020-09-11 12:20:34,0.08,0.34,0.89,6.75,27.37,6.82,6.82
2020-09-11 12:20:35,0.19,0.34,0.89,6.75,19.77,5.05,5.05
2020-09-11 12:20:36,0.39,0.37,0.81,5.66,19.77,5.05,5.05
2020-09-11 12:20:36,0.29,0.4,0.86,0.69,0.9,1.07,1.07
2020-09-11 12:20:37,0.29,0.4,0.86,0.69,0.9,6.86,6.86
2020-09-11 12:20:38,0.35,0.39,0.83,7.29,16.51,6.86,6.86
2020-09-11 12:20:39,0.35,0.39,0.93,7.49,13.15,7.93,7.93
2020-09-11 12:20:39,0.07,0.36,0.93,7.49,13.15,7.93,7.93
2020-09-11 12:20:40,0.06,0.42,0.89,1.9,2.75,2.08,2.08
2020-09-11 12:20:41,0.06,0.42,0.9,2.5,3.63,4.57,4.57
2020-09-11 12:20:42,0.06,0.4,0.9,2.5,3.63,4.57,4.57
2020-09-11 12:20:42,0.16,0.33,0.9,6.24,22.91,6.74,6.74
2020-09-11 12:20:43,0.16,0.33,0.9,6.24,15.06,7.81,7.81
2020-09-11 12:20:44,0.35,0.4,0.82,7.7,15.06,7.81,7.81
2020-09-11 12:20:45,0.3,0.41,0.85,1.62,3.25,2.08,2.08
2020-09-11 12:20:45,0.3,0.41,0.85,1.62,3.25,6.18,6.18
2020-09-11 12:20:46,0.27,0.35,0.86,7.6,21.04,6.18,6.18
2020-09-11 12:20:47,0.27,0.35,0.9,5.91,3.98,6.55,6.55
2020-09-11 12:20:47,0.11,0.39,0.9,5.91,3.98,2.04,2.04
2020-09-11 12:20:48,0.09,0.4,0.9,1.99,1.53,2.04,2.04
