date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 12:17:39,0.84,0.01,0.52,1.58,0.94,0.88,0.88
2020-09-11 12:17:39,0.84,0.01,0.52,1.58,0.94,3.55,3.55
2020-09-11 12:17:40,0.81,0.01,0.53,6.03,3.88,3.55,3.55
2020-09-11 12:17:41,0.81,0.35,0.79,40.86,97.53,29.17,29.17
2020-09-11 12:17:42,0.5,0.35,0.79,40.86,97.53,29.17,29.17
2020-09-11 12:17:42,0.43,0.38,0.79,11.45,10.15,12.94,12.94
2020-09-11 12:17:43,0.43,0.38,0.62,12.39,20.81,13.18,13.18
2020-09-11 12:17:44,0.68,0.33,0.62,12.39,20.81,30.68,30.68
2020-09-11 12:17:45,0.76,0.21,0.53,27.2,46.24,30.68,30.68
2020-09-11 12:17:45,0.76,0.21,0.86,13.97,68.87,34.49,34.49
2020-09-11 12:17:46,0.47,0.1,0.86,13.97,68.87,34.49,34.49
2020-09-11 12:17:47,0.79,0.08,0.52,10.42,15.44,10.11,10.11
2020-09-11 12:17:48,0.79,0.08,0.52,8.61,4.56,5.45,5.45
2020-09-11 12:17:48,0.9,0.11,0.37,8.61,4.56,5.45,5.45
2020-09-11 12:17:49,0.76,0.18,0.4,27.02,39.41,9.31,9.31
2020-09-11 12:17:50,0.76,0.18,0.4,27.02,39.41,52.51,52.51
2020-09-11 12:17:50,0.47,0.68,0.77,47.13,105.75,52.51,52.51
2020-09-11 12:17:51,0.47,0.35,0.79,7.73,11.26,6.23,6.23
2020-09-11 12:17:52,0.45,0.35,0.79,7.73,11.26,6.23,6.23
2020-09-11 12:17:53,0.71,0.22,0.67,15.34,28.24,25.25,25.25
2020-09-11 12:17:53,0.71,0.22,0.9,20.42,68.84,24.36,24.36
2020-09-11 12:17:54,0.34,0.12,0.9,20.42,68.84,24.36,24.36
2020-09-11 12:17:55,0.79,0.18,0.56,19.61,12.42,12.21,12.21
2020-09-11 12:17:56,0.79,0.18,0.56,19.61,1.82,3.87,3.87
2020-09-11 12:17:56,0.84,0.15,0.48,6.16,1.82,3.87,3.87
2020-09-11 12:17:57,0.85,0.13,0.47,5.04,2.53,3.8,3.8
2020-09-11 12:17:58,0.85,0.13,0.47,5.04,2.53,6.47,6.47
2020-09-11 12:17:58,0.8,0.14,0.48,8.11,23.67,6.47,6.47
2020-09-11 12:17:59,0.8,0.51,0.75,63.18,62.29,41.72,41.72
2020-09-11 12:18:00,0.63,0.51,0.75,63.18,62.29,26.33,26.33
2020-09-11 12:18:01,0.8,0.28,0.48,27.01,15.81,26.33,26.33
2020-09-11 12:18:02,0.8,0.34,0.68,12.09,12.88,20.69,20.69
2020-09-11 12:18:02,0.65,0.34,0.68,12.09,12.88,35.42,35.42
2020-09-11 12:18:03,0.49,0.18,0.86,24.19,27.76,35.42,35.42
2020-09-11 12:18:04,0.49,0.18,0.9,15.14,49.33,15.08,15.08
2020-09-11 12:18:04,0.33,0.13,0.9,15.14,49.33,15.08,15.08
2020-09-11 12:18:05,0.82,0.11,0.53,12.94,8.42,7.29,7.29
2020-09-11 12:18:06,0.82,0.11,0.53,12.94,0.75,1.2,1.2
2020-09-11 12:18:07,0.85,0.1,0.48,1.03,0.75,1.2,1.2
2020-09-11 12:18:07,0.87,0.09,0.46,1.16,2.47,0.97,0.97
2020-09-11 12:18:08,0.87,0.09,0.46,1.16,2.47,9.79,9.79
