date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 12:13:28,0.06,0.23,0.97,0.19,1.06,0.38,0.38
2020-09-11 12:13:29,0.04,0.23,0.97,0.19,1.06,0.24,0.24
2020-09-11 12:13:30,0.04,0.23,0.97,0.32,0.8,0.24,0.24
2020-09-11 12:13:30,0.04,0.23,0.98,11.46,5.4,11.23,11.23
2020-09-11 12:13:31,0.04,0.2,0.98,11.46,5.4,11.23,11.23
2020-09-11 12:13:32,0.21,0.15,0.96,10.81,4.25,7.93,7.93
2020-09-11 12:13:33,0.21,0.15,0.96,13.29,10.71,11.95,11.95
2020-09-11 12:13:33,0.1,0.18,0.97,13.29,10.71,11.95,11.95
2020-09-11 12:13:34,0.05,0.26,0.96,1.86,1.31,1.71,1.71
2020-09-11 12:13:35,0.05,0.26,0.96,22.39,13.4,17.01,17.01
2020-09-11 12:13:36,0.15,0.16,0.97,22.39,13.4,17.01,17.01
2020-09-11 12:13:37,0.26,0.49,0.84,8.4,1.59,3.27,3.27
2020-09-11 12:13:37,0.26,0.49,0.84,26.49,11.02,14.17,14.17
2020-09-11 12:13:38,0.23,0.3,0.91,26.49,11.02,14.17,14.17
2020-09-11 12:13:39,0.03,0.26,0.96,7.17,4.5,8.08,8.08
2020-09-11 12:13:40,0.03,0.26,0.96,6.77,17.02,7.25,7.25
2020-09-11 12:13:40,0.1,0.23,0.96,6.77,17.02,7.25,7.25
2020-09-11 12:13:41,0.65,0.11,0.73,4.6,19.91,6.85,6.85
2020-09-11 12:13:42,0.65,0.11,0.73,5.41,32.05,4.16,4.16
2020-09-11 12:13:43,0.37,0.15,0.87,5.41,32.05,4.16,4.16
2020-09-11 12:13:43,0.02,0.24,0.97,3.38,2.53,1.41,1.41
2020-09-11 12:13:44,0.02,0.24,0.97,3.38,2.53,5.95,5.95
2020-09-11 12:13:45,0.03,0.23,0.97,2.48,7.2,5.95,5.95
2020-09-11 12:13:45,0.03,0.23,0.81,14.68,18.93,15.65,15.65
2020-09-11 12:13:46,0.52,0.18,0.81,14.68,18.93,15.65,15.65
2020-09-11 12:13:47,0.53,0.14,0.82,11.1,17.19,5.7,5.7
2020-09-11 12:13:48,0.53,0.14,0.97,5.57,19.06,11.62,11.62
2020-09-11 12:13:48,0.1,0.2,0.97,5.57,19.06,11.62,11.62
2020-09-11 12:13:49,0.08,0.23,0.96,1.07,7.18,2.86,2.86
2020-09-11 12:13:50,0.08,0.23,0.96,5.28,20.44,6.84,6.84
2020-09-11 12:13:51,0.46,0.13,0.84,5.28,20.44,6.84,6.84
2020-09-11 12:13:51,0.66,0.07,0.75,2.9,7.07,5.61,5.61
2020-09-11 12:13:52,0.66,0.07,0.75,2.9,7.07,4.73,4.73
2020-09-11 12:13:53,0.21,0.15,0.93,7.19,29.76,4.73,4.73
2020-09-11 12:13:54,0.06,0.24,0.97,1.09,1.67,1.34,1.34
2020-09-11 12:13:54,0.06,0.24,0.97,1.09,1.67,10.67,10.67
2020-09-11 12:13:55,0.29,0.17,0.89,13.79,35.44,10.67,10.67
2020-09-11 12:13:56,0.74,0.11,0.69,11.11,15.69,7.59,7.59
2020-09-11 12:13:57,0.74,0.11,0.69,11.11,15.69,13.83,13.83
2020-09-11 12:13:57,0.16,0.15,0.94,17.79,27.15,13.83,13.83
2020-09-11 12:13:58,0.16,0.23,0.97,0.66,0.71,1.33,1.33
2020-09-11 12:13:59,0.07,0.23,0.97,0.66,0.71,7.08,7.08
2020-09-11 12:14:00,0.2,0.18,0.94,9.15,29.41,7.08,7.08
2020-09-11 12:14:00,0.64,0.22,0.74,13.01,13.52,12.32,12.32
2020-09-11 12:14:01,0.64,0.22,0.74,13.01,13.52,10.18,10.18
2020-09-11 12:14:02,0.12,0.19,0.95,20.36,23.77,10.18,10.18
