date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 12:14:42,0.09,0.26,0.97,1.05,0.8,1.99,1.99
2020-09-11 12:14:42,0.01,0.24,0.97,1.05,0.8,1.99,1.99
2020-09-11 12:14:43,0.09,0.23,0.96,3.4,17.32,7.12,7.12
2020-09-11 12:14:44,0.09,0.23,0.9,4.6,5.76,5.77,5.77
2020-09-11 12:14:45,0.35,0.19,0.9,4.6,5.76,5.77,5.77
2020-09-11 12:14:45,0.12,0.21,0.97,3.53,12.75,9.12,9.12
2020-09-11 12:14:46,0.12,0.21,0.97,3.53,8.3,7.38,7.38
2020-09-11 12:14:47,0.08,0.28,0.95,6.53,8.3,7.38,7.38
2020-09-11 12:14:47,0.09,0.33,0.93,3.67,2.02,2.89,2.89
2020-09-11 12:14:48,0.09,0.33,0.93,3.67,2.02,4.12,4.12
2020-09-11 12:14:49,0.08,0.26,0.96,4.78,7.63,4.12,4.12
2020-09-11 12:14:50,0.08,0.19,0.89,3.95,13.89,4.87,4.87
2020-09-11 12:14:50,0.39,0.19,0.89,3.95,13.89,4.87,4.87
2020-09-11 12:14:51,0.26,0.2,0.93,3.47,14.91,6.63,6.63
2020-09-11 12:14:52,0.26,0.2,0.93,2.14,2.39,1.71,1.71
2020-09-11 12:14:52,0.09,0.23,0.97,2.14,2.39,1.71,1.71
2020-09-11 12:14:53,0.11,0.28,0.95,3.95,2.9,1.61,1.61
2020-09-11 12:14:54,0.11,0.28,0.95,3.95,2.9,2.97,2.97
2020-09-11 12:14:55,0.1,0.24,0.96,2.69,2.47,2.97,2.97
2020-09-11 12:14:55,0.1,0.21,0.92,5.33,20.29,5.64,5.64
2020-09-11 12:14:56,0.27,0.21,0.92,5.33,20.29,5.64,5.64
2020-09-11 12:14:57,0.42,0.2,0.88,1.96,3.39,2.01,2.01
2020-09-11 12:14:58,0.42,0.2,0.94,4.11,17.65,8.27,8.27
2020-09-11 12:14:58,0.21,0.21,0.94,4.11,17.65,8.27,8.27
2020-09-11 12:14:59,0.04,0.25,0.96,2.83,3.74,2.34,2.34
2020-09-11 12:15:00,0.04,0.25,0.96,1.14,1.41,1.07,1.07
2020-09-11 12:15:01,0.06,0.27,0.96,1.14,1.41,1.07,1.07
2020-09-11 12:15:01,0.05,0.23,0.98,2.93,10.52,2.77,2.77
2020-09-11 12:15:02,0.05,0.23,0.98,2.93,20.21,6.22,6.22
2020-09-11 12:15:03,0.4,0.18,0.88,3.23,20.21,6.22,6.22
2020-09-11 12:15:03,0.36,0.2,0.9,1.97,8.3,5.07,5.07
2020-09-11 12:15:04,0.36,0.2,0.9,1.97,8.3,2.66,2.66
2020-09-11 12:15:05,0.06,0.23,0.97,2.68,6.71,2.66,2.66
2020-09-11 12:15:06,0.07,0.26,0.96,2.14,3.14,2.48,2.48
2020-09-11 12:15:07,0.07,0.26,0.96,2.14,1.2,1.09,1.09
2020-09-11 12:15:07,0.08,0.27,0.95,1.05,1.2,1.09,1.09
2020-09-11 12:15:08,0.08,0.23,0.98,3.1,4.89,3.59,3.59
2020-09-11 12:15:09,0.07,0.23,0.98,3.1,4.89,5.48,5.48
2020-09-11 12:15:10,0.38,0.19,0.88,3.62,19.55,5.48,5.48
2020-09-11 12:15:10,0.38,0.19,0.89,1.29,1.91,2.07,2.07
2020-09-11 12:15:11,0.39,0.2,0.89,1.29,1.91,2.07,2.07
2020-09-11 12:15:12,0.13,0.22,0.96,2.23,13.29,6.17,6.17
2020-09-11 12:15:12,0.13,0.22,0.96,2.19,1.99,3.33,3.33
2020-09-11 12:15:13,0.06,0.24,0.96,2.19,1.99,3.33,3.33
2020-09-11 12:15:14,0.06,0.25,0.96,1.76,1.93,1.74,1.74
2020-09-11 12:15:15,0.06,0.25,0.96,1.76,1.93,4.13,4.13
2020-09-11 12:15:15,0.13,0.21,0.96,2.96,14.08,4.13,4.13
2020-09-11 12:15:16,0.13,0.21,0.89,3.48,6.48,2.97,2.97
2020-09-11 12:15:17,0.37,0.21,0.89,3.48,6.48,2.97,2.97
