date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 12:23:23,0.05,0.28,0.94,0.8,1.39,0.53,0.53
2020-09-11 12:23:23,0.12,0.3,0.94,0.8,1.39,0.53,0.53
2020-09-11 12:23:24,0.13,0.32,0.93,4.18,4.27,4.18,4.18
2020-09-11 12:23:25,0.13,0.32,0.78,9.95,16.17,9.13,9.13
2020-09-11 12:23:26,0.42,0.4,0.78,9.95,16.17,9.13,9.13
2020-09-11 12:23:27,0.44,0.38,0.8,1.53,2.69,1.9,1.9
2020-09-11 12:23:27,0.44,0.38,0.8,0.31,0.76,0.72,0.72
2020-09-11 12:23:28,0.43,0.38,0.8,0.31,0.76,4.22,4.22
2020-09-11 12:23:29,0.43,0.37,0.8,8.16,6.89,4.22,4.22
2020-09-11 12:23:30,0.43,0.28,0.85,15.08,5.38,14.15,14.15
2020-09-11 12:23:30,0.43,0.28,0.85,15.08,5.38,1.19,1.19
2020-09-11 12:23:31,0.38,0.19,0.9,3.22,1.2,1.19,1.19
2020-09-11 12:23:32,0.38,0.19,0.9,0.56,1.04,0.3,0.3
2020-09-11 12:23:33,0.37,0.2,0.9,0.56,1.04,0.3,0.3
2020-09-11 12:23:33,0.36,0.25,0.89,7.97,1.56,7.66,7.66
2020-09-11 12:23:34,0.36,0.35,0.77,10.02,11.85,8.26,8.26
2020-09-11 12:23:35,0.49,0.35,0.77,10.02,11.85,8.26,8.26
2020-09-11 12:23:36,0.46,0.36,0.79,2.15,2.28,1.49,1.49
2020-09-11 12:23:37,0.46,0.38,0.79,0.32,0.84,0.55,0.55
2020-09-11 12:23:37,0.45,0.38,0.79,0.32,0.84,1.33,1.33
2020-09-11 12:23:38,0.43,0.38,0.8,1.91,2.43,1.33,1.33
2020-09-11 12:23:39,0.5,0.34,0.77,9.39,6.16,6.49,6.49
2020-09-11 12:23:40,0.5,0.34,0.77,9.39,3.59,14.31,14.31
2020-09-11 12:23:40,0.37,0.28,0.88,7.4,3.59,14.31,14.31
2020-09-11 12:23:41,0.37,0.27,0.88,0.9,1.35,0.78,0.78
2020-09-11 12:23:42,0.36,0.27,0.88,0.9,1.35,3.04,3.04
2020-09-11 12:23:43,0.36,0.29,0.88,2.62,2.16,3.04,3.04
2020-09-11 12:23:43,0.36,0.29,0.79,12.82,5.82,12.18,12.18
2020-09-11 12:23:44,0.49,0.32,0.79,12.82,5.82,2.13,2.13
2020-09-11 12:23:45,0.51,0.39,0.74,3.69,3.23,2.13,2.13
2020-09-11 12:23:46,0.49,0.39,0.76,0.91,0.75,0.32,0.32
2020-09-11 12:23:47,0.49,0.39,0.76,0.56,0.88,0.27,0.27
2020-09-11 12:23:48,0.48,0.39,0.76,0.56,0.88,0.27,0.27
2020-09-11 12:23:48,0.51,0.39,0.75,5.19,4.35,3.19,3.19
2020-09-11 12:23:49,0.51,0.27,0.82,14.19,3.56,16.07,16.07
2020-09-11 12:23:50,0.47,0.27,0.82,14.19,3.56,1.64,1.64
2020-09-11 12:23:51,0.41,0.24,0.88,1.78,1.34,1.64,1.64
2020-09-11 12:23:51,0.41,0.22,0.87,1.98,2.29,1.28,1.28
2020-09-11 12:23:52,0.41,0.22,0.87,1.98,4.91,13.18,13.18
2020-09-11 12:23:53,0.5,0.31,0.79,17.41,4.91,13.18,13.18
2020-09-11 12:23:54,0.54,0.41,0.71,6.28,5.4,3.81,3.81
2020-09-11 12:23:55,0.54,0.4,0.75,0.67,0.53,0.54,0.54
2020-09-11 12:23:56,0.5,0.4,0.75,0.57,1.52,0.75,0.75
2020-09-11 12:23:57,0.5,0.4,0.75,0.57,5.68,8.53,8.53
2020-09-11 12:23:58,0.54,0.39,0.72,11.98,5.68,8.53,8.53
2020-09-11 12:23:58,0.54,0.25,0.86,7.84,3.98,11.4,11.4
2020-09-11 12:23:59,0.41,0.25,0.86,7.84,3.98,0.95,0.95
2020-09-11 12:24:00,0.4,0.26,0.87,1.46,1.24,0.95,0.95
2020-09-11 12:24:01,0.4,0.26,0.87,1.52,0.58,1.15,1.15
2020-09-11 12:24:01,0.4,0.26,0.87,1.52,0.58,1.15,1.15
2020-09-11 12:24:02,0.44,0.27,0.84,7.04,5.29,11.04,11.04
2020-09-11 12:24:03,0.44,0.27,0.74,12.39,4.87,4.26,4.26
2020-09-11 12:24:04,0.53,0.38,0.74,12.39,4.87,4.26,4.26
2020-09-11 12:24:04,0.49,0.38,0.77,0.64,0.79,0.85,0.85
2020-09-11 12:24:05,0.49,0.38,0.77,0.89,1.61,0.56,0.56
2020-09-11 12:24:06,0.49,0.38,0.77,0.89,7.51,4.58,4.58
2020-09-11 12:24:07,0.52,0.36,0.74,9.73,7.51,4.58,4.58
2020-09-11 12:24:08,0.52,0.31,0.89,4.81,7.6,8.92,8.92
