date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 12:11:27,0.0,0.16,0.99,0.69,1.06,1.34,1.34
2020-09-11 12:11:27,0.02,0.16,0.99,0.69,1.01,0.32,0.32
2020-09-11 12:11:28,0.02,0.16,0.99,0.36,1.01,0.32,0.32
2020-09-11 12:11:29,0.06,0.16,1.02,5.12,8.9,3.18,3.18
2020-09-11 12:11:30,0.06,0.16,1.02,5.12,8.9,5.35,5.35
2020-09-11 12:11:30,0.67,0.03,0.63,7.56,31.5,5.35,5.35
2020-09-11 12:11:31,0.67,0.03,0.56,4.48,26.94,2.79,2.79
2020-09-11 12:11:32,0.73,0.04,0.56,4.48,26.94,2.79,2.79
2020-09-11 12:11:33,0.11,0.14,1.03,6.59,26.29,6.02,6.02
2020-09-11 12:11:33,0.11,0.14,1.03,1.38,1.76,2.78,2.78
2020-09-11 12:11:34,0.02,0.13,0.99,1.38,1.76,2.78,2.78
2020-09-11 12:11:35,0.3,0.11,0.9,9.86,38.86,11.66,11.66
2020-09-11 12:11:36,0.3,0.11,0.9,9.86,38.86,5.75,5.75
2020-09-11 12:11:36,0.85,0.08,0.47,5.44,9.98,5.75,5.75
2020-09-11 12:11:37,0.85,0.08,0.51,6.91,29.63,3.33,3.33
2020-09-11 12:11:38,0.78,0.04,0.51,6.91,29.63,3.33,3.33
2020-09-11 12:11:38,0.16,0.13,1.01,9.59,30.98,8.64,8.64
2020-09-11 12:11:39,0.16,0.13,1.01,0.93,3.32,0.97,0.97
2020-09-11 12:11:40,0.07,0.12,0.99,0.93,3.32,0.97,0.97
2020-09-11 12:11:41,0.14,0.1,1.03,4.48,26.18,8.14,8.14
2020-09-11 12:11:41,0.14,0.1,1.03,4.48,23.17,6.68,6.68
2020-09-11 12:11:42,0.74,0.05,0.55,5.19,23.17,6.68,6.68
2020-09-11 12:11:43,0.84,0.08,0.5,1.53,0.97,0.8,0.8
2020-09-11 12:11:44,0.84,0.08,0.5,1.53,0.97,4.2,4.2
2020-09-11 12:11:44,0.65,0.06,0.63,8.65,37.53,4.2,4.2
2020-09-11 12:11:45,0.65,0.06,1.03,7.18,20.27,8.64,8.64
2020-09-11 12:11:46,0.13,0.16,1.03,7.18,20.27,8.64,8.64
2020-09-11 12:11:46,0.1,0.14,0.98,1.41,4.51,1.59,1.59
2020-09-11 12:11:47,0.1,0.14,0.98,9.49,41.6,10.97,10.97
2020-09-11 12:11:48,0.29,0.11,0.91,9.49,41.6,10.97,10.97
2020-09-11 12:11:49,0.86,0.05,0.46,3.45,10.0,4.73,4.73
2020-09-11 12:11:49,0.86,0.05,0.46,3.45,2.65,0.99,0.99
2020-09-11 12:11:50,0.88,0.03,0.44,1.69,2.65,0.99,0.99
2020-09-11 12:11:51,0.47,0.1,0.77,10.76,53.9,8.78,8.78
2020-09-11 12:11:52,0.47,0.1,0.77,10.76,53.9,3.25,3.25
2020-09-11 12:11:52,0.1,0.18,0.99,5.13,3.12,3.25,3.25
2020-09-11 12:11:53,0.1,0.18,0.98,1.58,3.34,1.58,1.58
2020-09-11 12:11:54,0.09,0.17,0.98,1.58,3.34,14.34,14.34
2020-09-11 12:11:55,0.22,0.13,0.96,8.52,40.4,14.34,14.34
2020-09-11 12:11:55,0.22,0.08,0.43,5.19,11.46,5.38,5.38
2020-09-11 12:11:56,0.85,0.08,0.43,5.19,11.46,5.38,5.38
2020-09-11 12:11:57,0.89,0.04,0.42,2.39,2.0,1.68,1.68
2020-09-11 12:11:58,0.89,0.04,0.42,3.93,28.15,2.87,2.87
2020-09-11 12:11:58,0.78,0.03,0.48,3.93,28.15,2.87,2.87
2020-09-11 12:11:59,0.18,0.15,1.01,11.58,36.34,8.82,8.82
2020-09-11 12:12:00,0.18,0.15,1.01,11.58,36.34,0.58,0.58
2020-09-11 12:12:00,0.06,0.14,0.99,0.51,1.35,0.58,0.58
2020-09-11 12:12:01,0.06,0.15,1.03,4.52,9.96,4.86,4.86
2020-09-11 12:12:02,0.08,0.15,1.03,4.52,9.96,4.86,4.86
2020-09-11 12:12:03,0.64,0.03,0.64,5.43,38.66,5.93,5.93
2020-09-11 12:12:03,0.64,0.03,0.42,0.88,4.23,0.94,0.94
2020-09-11 12:12:04,0.88,0.05,0.42,0.88,4.23,0.94,0.94
2020-09-11 12:12:05,0.76,0.06,0.5,3.02,31.11,2.28,2.28
2020-09-11 12:12:05,0.76,0.06,0.5,10.63,34.91,8.01,8.01
2020-09-11 12:12:06,0.16,0.21,1.04,10.63,34.91,8.01,8.01
2020-09-11 12:12:07,0.01,0.14,0.99,0.52,1.53,0.41,0.41
2020-09-11 12:12:08,0.01,0.14,0.99,0.52,1.53,7.71,7.71
2020-09-11 12:12:08,0.11,0.14,1.04,6.85,24.54,7.71,7.71
2020-09-11 12:12:09,0.11,0.05,0.54,4.38,26.67,5.21,5.21
2020-09-11 12:12:10,0.73,0.05,0.54,4.38,26.67,5.21,5.21
2020-09-11 12:12:11,0.87,0.06,0.45,3.42,1.88,2.21,2.21
2020-09-11 12:12:11,0.87,0.06,0.6,4.29,35.72,3.39,3.39
2020-09-11 12:12:12,0.68,0.06,0.6,4.29,35.72,3.39,3.39
2020-09-11 12:12:13,0.1,0.18,1.02,7.49,21.93,8.07,8.07
2020-09-11 12:12:14,0.1,0.18,1.02,1.87,3.75,2.78,2.78
2020-09-11 12:12:14,0.07,0.17,0.98,1.87,3.75,2.78,2.78
2020-09-11 12:12:15,0.24,0.12,0.96,8.6,40.43,10.26,10.26
2020-09-11 12:12:16,0.24,0.12,0.96,8.6,8.11,1.23,1.23
2020-09-11 12:12:16,0.84,0.02,0.46,3.17,8.11,1.23,1.23
2020-09-11 12:12:17,0.84,0.03,0.51,3.74,19.19,3.26,3.26
2020-09-11 12:12:18,0.8,0.03,0.51,3.74,19.19,7.09,7.09
2020-09-11 12:12:19,0.21,0.17,0.98,8.37,36.65,7.09,7.09
2020-09-11 12:12:19,0.21,0.17,0.98,0.63,1.29,0.56,0.56
2020-09-11 12:12:20,0.06,0.19,0.98,0.63,1.29,0.56,0.56
2020-09-11 12:12:21,0.1,0.18,1.02,5.83,11.01,4.53,4.53
2020-09-11 12:12:22,0.1,0.18,1.02,4.71,39.32,8.12,8.12
2020-09-11 12:12:22,0.67,0.04,0.6,4.71,39.32,8.12,8.12
2020-09-11 12:12:23,0.87,0.03,0.46,2.09,1.76,1.46,1.46
