date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 12:16:00,0.4,0.17,0.71,3.07,4.61,4.69,4.69
2020-09-11 12:16:01,0.87,0.07,0.45,4.94,3.27,2.75,2.75
2020-09-11 12:16:02,0.87,0.07,0.45,4.94,3.27,10.99,10.99
2020-09-11 12:16:03,0.84,0.07,0.52,13.75,18.21,10.99,10.99
2020-09-11 12:16:03,0.84,0.07,0.41,39.76,14.18,20.3,20.3
2020-09-11 12:16:04,0.9,0.08,0.41,39.76,14.18,20.3,20.3
2020-09-11 12:16:05,0.88,0.11,0.48,35.28,22.93,13.12,13.12
2020-09-11 12:16:06,0.88,0.11,0.48,37.31,36.65,21.39,21.39
2020-09-11 12:16:06,0.81,0.12,0.53,37.31,36.65,21.39,21.39
2020-09-11 12:16:07,0.83,0.12,0.52,21.83,27.6,14.71,14.71
2020-09-11 12:16:08,0.83,0.12,0.52,21.83,27.6,8.74,8.74
2020-09-11 12:16:08,0.85,0.09,0.48,15.23,22.62,8.74,8.74
2020-09-11 12:16:09,0.85,0.09,0.55,14.98,19.46,9.63,9.63
2020-09-11 12:16:10,0.79,0.09,0.55,14.98,19.46,9.63,9.63
2020-09-11 12:16:11,0.88,0.12,0.43,14.87,26.98,6.41,6.41
2020-09-11 12:16:11,0.88,0.12,0.49,9.11,16.1,8.98,8.98
2020-09-11 12:16:12,0.86,0.08,0.49,9.11,16.1,8.98,8.98
2020-09-11 12:16:13,0.89,0.11,0.44,21.66,21.51,7.8,7.8
2020-09-11 12:16:13,0.89,0.11,0.44,21.66,40.34,13.61,13.61
2020-09-11 12:16:14,0.8,0.1,0.55,19.83,40.34,13.61,13.61
2020-09-11 12:16:15,0.8,0.08,0.58,12.06,30.79,9.27,9.27
2020-09-11 12:16:16,0.81,0.08,0.58,12.06,30.79,9.27,9.27
2020-09-11 12:16:16,0.78,0.1,0.52,14.95,29.48,12.54,12.54
2020-09-11 12:16:17,0.78,0.1,0.6,14.06,16.9,15.61,15.61
2020-09-11 12:16:18,0.79,0.12,0.6,14.06,16.9,15.61,15.61
2020-09-11 12:16:19,0.84,0.13,0.5,14.8,19.78,10.95,10.95
2020-09-11 12:16:19,0.84,0.13,0.5,10.28,26.67,8.46,8.46
2020-09-11 12:16:20,0.82,0.09,0.55,10.28,26.67,8.46,8.46
2020-09-11 12:16:21,0.83,0.08,0.52,11.74,20.53,8.37,8.37
2020-09-11 12:16:21,0.83,0.08,0.52,11.74,20.53,10.09,10.09
2020-09-11 12:16:22,0.82,0.13,0.54,17.94,23.12,10.09,10.09
2020-09-11 12:16:23,0.82,0.13,0.53,19.88,32.65,6.31,6.31
2020-09-11 12:16:24,0.84,0.11,0.53,19.88,32.65,6.31,6.31
2020-09-11 12:16:24,0.83,0.09,0.51,12.5,31.02,12.06,12.06
2020-09-11 12:16:25,0.83,0.09,0.51,11.83,28.24,9.27,9.27
2020-09-11 12:16:26,0.8,0.1,0.57,11.83,28.24,9.27,9.27
2020-09-11 12:16:27,0.8,0.08,0.53,13.12,29.34,7.72,7.72
2020-09-11 12:16:27,0.8,0.08,0.53,13.12,31.52,7.63,7.63
2020-09-11 12:16:28,0.85,0.12,0.51,16.89,31.52,7.63,7.63
2020-09-11 12:16:29,0.85,0.1,0.49,12.47,34.6,7.79,7.79
2020-09-11 12:16:29,0.84,0.1,0.49,12.47,34.6,7.79,7.79
2020-09-11 12:16:30,0.78,0.12,0.56,10.65,30.53,8.98,8.98
