date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 18:38:55,0.03,0.03,0.0,2.64,1.0,0.26,0.26
2020-09-11 18:38:56,0.01,0.01,0.0,0.85,1.0,0.26,0.26
2020-09-11 18:38:57,0.01,0.02,0.03,5.1,9.25,7.77,7.77
2020-09-11 18:38:58,0.05,0.02,0.03,5.1,13.47,14.31,14.31
2020-09-11 18:38:58,0.05,0.07,0.09,15.22,13.47,14.31,14.31
2020-09-11 18:38:59,0.05,0.04,0.05,7.46,8.53,8.65,8.65
2020-09-11 18:39:00,0.05,0.04,0.05,7.05,11.39,5.69,5.69
2020-09-11 18:39:01,0.06,0.04,0.1,7.05,11.39,5.69,5.69
2020-09-11 18:39:01,0.0,0.0,0.0,1.18,2.19,2.52,2.52
2020-09-11 18:39:02,0.0,0.0,0.08,20.85,9.39,12.43,12.43
2020-09-11 18:39:03,0.07,0.06,0.08,20.85,9.39,12.43,12.43
2020-09-11 18:39:04,0.01,0.01,0.01,2.21,2.48,1.91,1.91
2020-09-11 18:39:05,0.01,0.01,0.01,3.45,5.31,1.43,1.43
2020-09-11 18:39:05,0.02,0.01,0.02,3.45,5.31,1.43,1.43
2020-09-11 18:39:06,0.12,0.09,0.15,13.08,21.95,14.06,14.06
2020-09-11 18:39:07,0.12,0.09,0.15,13.08,1.14,1.02,1.02
2020-09-11 18:39:07,0.01,0.01,0.0,2.41,1.14,1.02,1.02
2020-09-11 18:39:08,0.01,0.01,0.01,7.77,6.56,8.4,8.4
2020-09-11 18:39:09,0.01,0.01,0.01,29.27,15.55,18.32,18.32
2020-09-11 18:39:10,0.12,0.09,0.1,29.27,15.55,18.32,18.32
2020-09-11 18:39:11,0.01,0.01,0.01,1.43,2.7,1.9,1.9
2020-09-11 18:39:12,0.01,0.01,0.0,2.9,2.29,1.77,1.77
2020-09-11 18:39:13,0.01,0.01,0.14,17.1,19.87,4.82,4.82
2020-09-11 18:39:13,0.08,0.1,0.14,17.1,19.87,4.82,4.82
2020-09-11 18:39:14,0.0,0.0,0.0,1.01,2.26,3.74,3.74
2020-09-11 18:39:15,0.0,0.0,0.0,2.0,1.92,3.51,3.51
2020-09-11 18:39:16,0.01,0.01,0.0,2.0,1.92,7.55,7.55
2020-09-11 18:39:17,0.04,0.05,0.04,18.21,6.75,7.55,7.55
2020-09-11 18:39:17,0.04,0.04,0.05,9.56,6.48,4.81,4.81
2020-09-11 18:39:18,0.03,0.04,0.05,0.42,0.63,0.8,0.8
2020-09-11 18:39:19,0.0,0.0,0.0,0.42,0.63,5.1,5.1
2020-09-11 18:39:20,0.06,0.03,0.06,10.24,9.22,5.1,5.1
2020-09-11 18:39:21,0.15,0.12,0.17,25.86,25.81,14.43,14.43
2020-09-11 18:39:22,0.15,0.12,0.17,25.86,5.46,4.49,4.49
2020-09-11 18:39:22,0.03,0.04,0.01,9.63,5.46,4.49,4.49
2020-09-11 18:39:23,0.05,0.07,0.06,21.99,10.93,15.33,15.33
2020-09-11 18:39:24,0.05,0.07,0.06,21.99,4.59,4.01,4.01
2020-09-11 18:39:25,0.03,0.06,0.06,8.07,4.59,4.01,4.01
2020-09-11 18:39:25,0.0,0.0,0.0,0.39,1.26,0.55,0.55
2020-09-11 18:39:26,0.0,0.0,0.0,0.39,1.26,1.17,1.17
2020-09-11 18:39:27,0.01,0.01,0.01,2.66,3.92,1.17,1.17
2020-09-11 18:39:28,0.1,0.1,0.14,18.83,23.12,14.6,14.6
2020-09-11 18:39:29,0.1,0.1,0.14,18.83,23.12,5.52,5.52
2020-09-11 18:39:29,0.04,0.04,0.02,12.15,7.99,5.52,5.52
2020-09-11 18:39:30,0.01,0.01,0.0,2.91,2.38,2.13,2.13
2020-09-11 18:39:31,0.01,0.01,0.0,2.91,26.58,19.87,19.87
2020-09-11 18:39:32,0.1,0.09,0.13,17.13,26.58,19.87,19.87
2020-09-11 18:39:32,0.05,0.03,0.03,3.31,7.74,5.19,5.19
2020-09-11 18:39:33,0.05,0.03,0.03,3.31,7.74,2.9,2.9
2020-09-11 18:39:34,0.01,0.01,0.01,1.85,1.89,2.9,2.9
2020-09-11 18:39:35,0.01,0.03,0.04,7.28,11.06,4.16,4.16
2020-09-11 18:39:35,0.03,0.03,0.04,7.28,11.06,12.11,12.11
2020-09-11 18:39:36,0.12,0.13,0.15,24.4,24.64,12.11,12.11
