date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 18:37:09,0.0,0.0,0.0,0.66,0.78,0.45,0.45
2020-09-11 18:37:10,0.0,0.0,0.0,0.8,0.6,0.45,0.45
2020-09-11 18:37:11,0.0,0.01,0.01,2.03,1.07,2.98,2.98
2020-09-11 18:37:11,0.01,0.01,0.01,2.03,1.07,1.03,1.03
2020-09-11 18:37:12,0.01,0.02,0.01,3.21,1.37,1.03,1.03
2020-09-11 18:37:13,0.01,0.0,0.0,1.21,0.91,0.64,0.64
2020-09-11 18:37:14,0.0,0.0,0.0,1.21,0.91,1.11,1.11
2020-09-11 18:37:15,0.0,0.0,0.0,1.23,0.63,1.11,1.11
2020-09-11 18:37:15,0.0,0.0,0.0,1.31,1.34,1.0,1.0
2020-09-11 18:37:16,0.0,0.0,0.0,1.31,1.34,1.0,1.0
2020-09-11 18:37:17,0.0,0.0,0.0,0.58,0.78,0.87,0.87
2020-09-11 18:37:17,0.0,0.0,0.0,0.64,1.29,0.61,0.61
2020-09-11 18:37:18,0.0,0.0,0.0,0.64,1.29,0.61,0.61
2020-09-11 18:37:19,0.01,0.01,0.0,1.78,1.07,0.85,0.85
2020-09-11 18:37:20,0.01,0.01,0.0,1.78,1.45,0.91,0.91
2020-09-11 18:37:20,0.01,0.0,0.0,1.22,1.45,0.91,0.91
2020-09-11 18:37:21,0.0,0.01,0.0,1.06,0.88,0.55,0.55
2020-09-11 18:37:22,0.0,0.01,0.0,1.06,1.38,0.7,0.7
2020-09-11 18:37:23,0.0,0.0,0.0,0.94,1.38,0.7,0.7
2020-09-11 18:37:23,0.0,0.01,0.0,1.07,1.0,1.43,1.43
2020-09-11 18:37:24,0.0,0.01,0.0,1.07,1.35,0.76,0.76
2020-09-11 18:37:25,0.01,0.01,0.0,1.46,1.35,0.76,0.76
2020-09-11 18:37:26,0.0,0.0,0.0,0.97,0.86,1.3,1.3
2020-09-11 18:37:27,0.0,0.0,0.0,0.97,1.07,0.54,0.54
2020-09-11 18:37:27,0.0,0.0,0.0,0.62,1.07,0.54,0.54
2020-09-11 18:37:28,0.0,0.01,0.0,1.53,0.61,1.16,1.16
2020-09-11 18:37:29,0.0,0.01,0.0,1.53,0.61,0.97,0.97
2020-09-11 18:37:29,0.0,0.0,0.0,0.85,1.5,0.97,0.97
2020-09-11 18:37:30,0.0,0.0,0.0,1.26,1.02,1.8,1.8
2020-09-11 18:37:31,0.01,0.01,0.0,1.26,1.02,1.8,1.8
2020-09-11 18:37:32,0.0,0.0,0.0,1.06,1.17,0.45,0.45
2020-09-11 18:37:32,0.0,0.0,0.0,2.13,1.46,1.21,1.21
2020-09-11 18:37:33,0.01,0.01,0.0,2.13,1.46,1.21,1.21
2020-09-11 18:37:34,0.0,0.0,0.0,1.14,1.35,1.13,1.13
2020-09-11 18:37:35,0.0,0.0,0.0,1.14,2.07,1.66,1.66
2020-09-11 18:37:35,0.0,0.01,0.0,1.78,2.07,1.66,1.66
2020-09-11 18:37:36,0.0,0.0,0.0,0.71,1.27,0.6,0.6
