date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 18:37:56,0.0,0.0,0.0,0.53,0.78,0.34,0.34
2020-09-11 18:37:57,0.0,0.0,0.0,0.53,0.78,0.34,0.34
2020-09-11 18:37:57,0.05,0.05,0.01,16.18,13.03,12.21,12.21
2020-09-11 18:37:58,0.05,0.03,0.01,8.54,5.16,6.08,6.08
2020-09-11 18:37:59,0.03,0.03,0.01,2.11,2.28,1.8,1.8
2020-09-11 18:38:00,0.0,0.0,0.0,2.11,2.28,1.8,1.8
2020-09-11 18:38:01,0.04,0.06,0.01,18.08,13.73,6.65,6.65
2020-09-11 18:38:02,0.04,0.03,0.01,4.68,4.35,7.53,7.53
2020-09-11 18:38:03,0.03,0.03,0.01,4.68,4.35,7.53,7.53
2020-09-11 18:38:03,0.02,0.01,0.01,1.59,4.29,5.73,5.73
2020-09-11 18:38:04,0.02,0.01,0.0,0.43,0.76,0.33,0.33
2020-09-11 18:38:05,0.0,0.0,0.0,0.43,0.76,0.33,0.33
2020-09-11 18:38:06,0.02,0.01,0.01,3.24,3.19,4.66,4.66
2020-09-11 18:38:06,0.06,0.07,0.01,23.75,15.97,10.48,10.48
2020-09-11 18:38:07,0.06,0.07,0.01,1.95,2.33,1.27,1.27
2020-09-11 18:38:08,0.01,0.01,0.0,1.95,2.33,1.27,1.27
2020-09-11 18:38:09,0.0,0.0,0.0,0.28,0.83,0.31,0.31
2020-09-11 18:38:10,0.0,0.0,0.0,9.53,4.97,2.15,2.15
2020-09-11 18:38:10,0.01,0.02,0.01,9.53,4.97,2.15,2.15
2020-09-11 18:38:11,0.06,0.05,0.02,12.39,10.49,9.63,9.63
2020-09-11 18:38:12,0.06,0.05,0.02,12.39,3.87,5.73,5.73
2020-09-11 18:38:13,0.02,0.02,0.01,2.86,3.87,5.73,5.73
2020-09-11 18:38:13,0.0,0.0,0.0,0.56,0.49,0.97,0.97
2020-09-11 18:38:14,0.0,0.0,0.0,0.56,0.49,4.0,4.0
2020-09-11 18:38:15,0.02,0.01,0.01,1.87,2.44,4.0,4.0
2020-09-11 18:38:16,0.05,0.06,0.02,20.58,15.81,9.29,9.29
2020-09-11 18:38:17,0.05,0.06,0.02,1.5,2.03,1.77,1.77
2020-09-11 18:38:17,0.01,0.01,0.0,1.5,2.03,1.77,1.77
2020-09-11 18:38:18,0.0,0.0,0.0,2.42,1.38,1.03,1.03
2020-09-11 18:38:19,0.0,0.0,0.0,2.42,11.43,12.49,12.49
2020-09-11 18:38:20,0.05,0.07,0.02,18.91,11.43,12.49,12.49
2020-09-11 18:38:20,0.02,0.02,0.01,3.21,3.15,6.82,6.82
2020-09-11 18:38:21,0.02,0.02,0.01,3.21,3.15,0.98,0.98
2020-09-11 18:38:22,0.0,0.0,0.0,0.51,0.73,0.98,0.98
2020-09-11 18:38:22,0.0,0.0,0.0,2.3,1.63,3.67,3.67
2020-09-11 18:38:23,0.01,0.01,0.0,21.3,14.98,6.93,6.93
2020-09-11 18:38:24,0.06,0.07,0.01,21.3,14.98,6.93,6.93
2020-09-11 18:38:25,0.01,0.0,0.0,1.25,1.2,1.45,1.45
2020-09-11 18:38:26,0.01,0.0,0.0,1.25,1.83,0.87,0.87
2020-09-11 18:38:26,0.0,0.0,0.0,3.17,1.83,0.87,0.87
2020-09-11 18:38:27,0.04,0.04,0.01,11.47,8.55,6.55,6.55
2020-09-11 18:38:28,0.04,0.04,0.01,11.47,8.55,4.66,4.66
2020-09-11 18:38:29,0.03,0.03,0.02,4.71,4.9,4.66,4.66
2020-09-11 18:38:29,0.03,0.03,0.0,0.75,1.04,1.41,1.41
2020-09-11 18:38:30,0.0,0.0,0.0,0.75,1.04,1.41,1.41
2020-09-11 18:38:31,0.03,0.02,0.01,9.31,9.16,6.19,6.19
2020-09-11 18:38:32,0.03,0.02,0.01,13.29,7.87,3.94,3.94
2020-09-11 18:38:32,0.05,0.05,0.01,13.29,7.87,3.94,3.94
2020-09-11 18:38:33,0.0,0.0,0.0,1.3,1.65,0.91,0.91
