date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 17:50:39,0.01,0.02,0.01,7.41,4.07,1.7,1.7
2020-09-11 17:50:40,0.0,0.01,0.01,2.35,1.68,1.7,1.7
2020-09-11 17:50:40,0.0,0.01,0.11,24.13,49.57,58.86,58.86
2020-09-11 17:50:41,0.16,0.16,0.11,24.13,49.57,50.14,50.14
2020-09-11 17:50:42,0.32,0.37,0.27,43.08,33.67,50.14,50.14
2020-09-11 17:50:43,0.32,0.2,0.12,30.9,22.07,31.25,31.25
2020-09-11 17:50:43,0.09,0.2,0.12,30.9,22.07,49.91,49.91
2020-09-11 17:50:44,0.25,0.18,0.1,29.65,40.33,49.91,49.91
2020-09-11 17:50:45,0.25,0.18,0.07,19.75,11.97,31.47,31.47
2020-09-11 17:50:46,0.11,0.1,0.07,19.75,11.97,31.47,31.47
2020-09-11 17:50:46,0.44,0.36,0.31,47.46,73.96,93.09,93.09
2020-09-11 17:50:47,0.44,0.36,0.08,17.04,18.28,12.47,12.47
2020-09-11 17:50:48,0.08,0.1,0.08,17.04,18.28,20.61,20.61
2020-09-11 17:50:49,0.12,0.16,0.11,30.61,16.98,20.61,20.61
2020-09-11 17:50:50,0.12,0.12,0.11,25.48,38.17,67.25,67.25
2020-09-11 17:50:50,0.26,0.12,0.11,25.48,38.17,15.1,15.1
2020-09-11 17:50:51,0.11,0.15,0.12,25.37,18.47,15.1,15.1
2020-09-11 17:50:52,0.11,0.07,0.05,16.54,15.44,25.77,25.77
2020-09-11 17:50:53,0.05,0.07,0.05,16.54,15.44,25.77,25.77
2020-09-11 17:50:53,0.42,0.44,0.28,52.57,74.25,81.98,81.98
2020-09-11 17:50:54,0.42,0.44,0.28,6.18,13.09,10.95,10.95
2020-09-11 17:50:55,0.06,0.07,0.04,6.18,13.09,10.95,10.95
2020-09-11 17:50:55,0.09,0.12,0.09,17.21,11.34,19.7,19.7
2020-09-11 17:50:56,0.09,0.12,0.09,17.21,35.56,56.15,56.15
2020-09-11 17:50:57,0.29,0.21,0.11,29.93,35.56,56.15,56.15
2020-09-11 17:50:58,0.14,0.16,0.11,30.12,23.62,41.87,41.87
2020-09-11 17:50:58,0.14,0.16,0.11,30.12,23.62,23.42,23.42
2020-09-11 17:50:59,0.11,0.08,0.08,28.37,16.83,23.42,23.42
2020-09-11 17:51:00,0.11,0.11,0.11,18.99,34.41,45.84,45.84
2020-09-11 17:51:01,0.14,0.11,0.11,18.99,34.41,45.84,45.84
2020-09-11 17:51:01,0.33,0.47,0.16,44.89,38.71,60.14,60.14
2020-09-11 17:51:02,0.33,0.1,0.07,14.89,22.4,23.32,23.32
2020-09-11 17:51:03,0.07,0.1,0.07,14.89,22.4,23.32,23.32
2020-09-11 17:51:04,0.09,0.1,0.1,20.26,22.02,25.29,25.29
2020-09-11 17:51:04,0.09,0.1,0.1,27.55,41.42,47.67,47.67
2020-09-11 17:51:05,0.18,0.16,0.12,27.55,41.42,47.67,47.67
2020-09-11 17:51:06,0.2,0.21,0.09,28.0,27.78,46.58,46.58
2020-09-11 17:51:07,0.2,0.21,0.09,28.0,16.73,13.48,13.48
2020-09-11 17:51:07,0.06,0.09,0.08,21.8,16.73,13.48,13.48
2020-09-11 17:51:08,0.06,0.06,0.05,15.71,21.39,20.06,20.06
2020-09-11 17:51:09,0.04,0.06,0.05,15.71,21.39,77.03,77.03
2020-09-11 17:51:10,0.53,0.57,0.18,54.08,40.45,77.03,77.03
2020-09-11 17:51:10,0.53,0.57,0.08,20.38,23.73,36.14,36.14
2020-09-11 17:51:11,0.12,0.14,0.08,20.38,23.73,36.14,36.14
2020-09-11 17:51:12,0.08,0.06,0.1,25.1,12.58,17.15,17.15
2020-09-11 17:51:12,0.08,0.06,0.1,16.15,8.42,12.19,12.19
2020-09-11 17:51:13,0.04,0.06,0.06,16.15,8.42,12.19,12.19
2020-09-11 17:51:14,0.08,0.07,0.06,17.1,13.16,24.77,24.77
2020-09-11 17:51:15,0.08,0.07,0.06,17.1,42.76,54.71,54.71
2020-09-11 17:51:15,0.2,0.15,0.13,32.3,42.76,54.71,54.71
2020-09-11 17:51:16,0.22,0.28,0.14,41.69,40.03,48.62,48.62
2020-09-11 17:51:17,0.22,0.28,0.14,24.21,16.45,25.97,25.97
2020-09-11 17:51:18,0.08,0.12,0.08,24.21,16.45,25.97,25.97
2020-09-11 17:51:18,0.02,0.07,0.05,22.56,9.0,9.75,9.75
2020-09-11 17:51:19,0.02,0.07,0.05,22.56,9.0,7.22,7.22
2020-09-11 17:51:20,0.02,0.04,0.02,8.78,5.48,7.22,7.22
2020-09-11 17:51:21,0.02,0.04,0.04,15.03,10.45,7.08,7.08
