date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 18:34:45,0.0,0.04,0.17,0.21,0.92,0.2,0.2
2020-09-11 18:34:46,0.03,0.04,0.17,0.21,0.92,0.99,0.99
2020-09-11 18:34:47,0.01,0.0,0.0,0.65,1.78,0.99,0.99
2020-09-11 18:34:47,0.01,0.0,0.01,7.94,10.9,4.6,4.6
2020-09-11 18:34:48,0.04,0.03,0.01,7.94,10.9,3.6,3.6
2020-09-11 18:34:49,0.02,0.02,0.01,3.67,4.23,3.6,3.6
2020-09-11 18:34:50,0.02,0.02,0.01,9.31,15.68,6.82,6.82
2020-09-11 18:34:50,0.05,0.05,0.01,9.31,15.68,6.82,6.82
2020-09-11 18:34:51,0.01,0.0,0.0,1.19,1.06,1.29,1.29
2020-09-11 18:34:52,0.01,0.0,0.0,4.19,9.1,3.61,3.61
2020-09-11 18:34:53,0.03,0.01,0.0,4.19,9.1,3.61,3.61
2020-09-11 18:34:54,0.04,0.02,0.02,3.02,9.81,4.13,4.13
2020-09-11 18:34:54,0.04,0.01,0.0,1.72,3.72,1.02,1.02
2020-09-11 18:34:55,0.01,0.01,0.0,1.72,3.72,1.02,1.02
2020-09-11 18:34:56,0.04,0.01,0.02,2.76,16.75,3.14,3.14
2020-09-11 18:34:57,0.04,0.01,0.0,1.23,1.84,1.23,1.23
2020-09-11 18:34:57,0.02,0.01,0.0,1.23,1.84,1.23,1.23
2020-09-11 18:34:58,0.01,0.0,0.0,1.54,2.86,5.52,5.52
2020-09-11 18:34:59,0.01,0.0,0.02,7.78,14.24,4.0,4.0
2020-09-11 18:35:00,0.06,0.03,0.02,7.78,14.24,3.41,3.41
2020-09-11 18:35:01,0.01,0.01,0.01,4.01,5.0,3.41,3.41
2020-09-11 18:35:01,0.01,0.05,0.03,10.12,19.22,6.92,6.92
2020-09-11 18:35:02,0.07,0.05,0.03,10.12,19.22,0.88,0.88
2020-09-11 18:35:03,0.0,0.0,0.0,0.6,1.26,0.88,0.88
2020-09-11 18:35:04,0.0,0.01,0.0,1.9,3.6,2.5,2.5
2020-09-11 18:35:04,0.01,0.01,0.0,1.9,19.2,5.67,5.67
2020-09-11 18:35:05,0.06,0.01,0.03,3.39,19.2,5.67,5.67
2020-09-11 18:35:06,0.01,0.01,0.01,1.53,5.81,1.69,1.69
2020-09-11 18:35:07,0.01,0.01,0.01,1.53,20.96,4.1,4.1
2020-09-11 18:35:08,0.07,0.01,0.03,1.72,20.96,4.1,4.1
2020-09-11 18:35:08,0.07,0.01,0.0,1.36,1.36,1.49,1.49
2020-09-11 18:35:09,0.01,0.01,0.0,1.36,1.36,0.86,0.86
2020-09-11 18:35:10,0.0,0.0,0.0,1.1,1.36,0.86,0.86
2020-09-11 18:35:11,0.04,0.03,0.01,6.32,13.26,7.82,7.82
2020-09-11 18:35:11,0.04,0.03,0.01,1.18,5.34,1.23,1.23
2020-09-11 18:35:12,0.03,0.01,0.02,1.18,5.34,1.23,1.23
2020-09-11 18:35:13,0.04,0.03,0.02,4.81,16.64,4.52,4.52
2020-09-11 18:35:14,0.04,0.03,0.01,1.47,6.93,1.46,1.46
2020-09-11 18:35:15,0.04,0.01,0.01,1.47,6.93,1.46,1.46
2020-09-11 18:35:15,0.01,0.01,0.0,0.92,1.52,1.56,1.56
2020-09-11 18:35:16,0.01,0.04,0.04,10.46,23.27,10.59,10.59
2020-09-11 18:35:17,0.08,0.04,0.04,10.46,12.61,3.02,3.02
2020-09-11 18:35:18,0.04,0.02,0.03,7.12,12.61,3.02,3.02
2020-09-11 18:35:19,0.04,0.06,0.04,8.83,20.59,9.01,9.01
2020-09-11 18:35:19,0.09,0.06,0.04,8.83,20.59,1.55,1.55
2020-09-11 18:35:20,0.01,0.01,0.0,1.6,1.26,1.55,1.55
2020-09-11 18:35:21,0.01,0.0,0.0,0.81,0.89,1.2,1.2
