date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 18:35:48,0.0,0.0,0.0,0.71,1.04,0.65,0.65
2020-09-11 18:35:49,0.0,0.0,0.0,0.71,1.04,0.65,0.65
2020-09-11 18:35:50,0.06,0.03,0.01,10.79,13.49,7.26,7.26
2020-09-11 18:35:50,0.06,0.03,0.01,3.71,6.06,4.7,4.7
2020-09-11 18:35:51,0.02,0.02,0.01,3.71,6.06,4.7,4.7
2020-09-11 18:35:52,0.02,0.02,0.01,8.35,7.43,4.78,4.78
2020-09-11 18:35:53,0.02,0.02,0.01,5.45,6.34,5.11,5.11
2020-09-11 18:35:53,0.04,0.03,0.01,5.45,6.34,5.11,5.11
2020-09-11 18:35:54,0.03,0.01,0.01,1.54,3.27,1.83,1.83
2020-09-11 18:35:55,0.03,0.01,0.01,1.54,3.27,2.31,2.31
2020-09-11 18:35:56,0.01,0.01,0.01,0.87,1.21,2.31,2.31
2020-09-11 18:35:56,0.01,0.01,0.02,2.13,2.72,2.07,2.07
2020-09-11 18:35:57,0.02,0.01,0.02,2.13,2.72,2.07,2.07
2020-09-11 18:35:58,0.05,0.04,0.02,11.2,11.77,7.61,7.61
2020-09-11 18:35:59,0.05,0.01,0.01,1.44,0.76,2.37,2.37
2020-09-11 18:35:59,0.0,0.01,0.01,1.44,0.76,2.37,2.37
2020-09-11 18:36:00,0.0,0.0,0.0,1.24,0.84,1.66,1.66
2020-09-11 18:36:01,0.0,0.0,0.01,9.34,7.74,6.97,6.97
2020-09-11 18:36:02,0.04,0.04,0.01,9.34,7.74,6.97,6.97
2020-09-11 18:36:02,0.01,0.0,0.0,1.09,1.35,3.42,3.42
2020-09-11 18:36:03,0.01,0.0,0.0,1.09,3.83,2.58,2.58
2020-09-11 18:36:04,0.03,0.02,0.01,1.51,3.83,2.58,2.58
2020-09-11 18:36:04,0.03,0.01,0.01,0.75,1.17,1.4,1.4
2020-09-11 18:36:05,0.01,0.01,0.01,0.75,1.17,2.38,2.38
2020-09-11 18:36:06,0.01,0.01,0.01,1.27,1.99,2.38,2.38
2020-09-11 18:36:07,0.01,0.01,0.01,13.61,12.17,5.74,5.74
2020-09-11 18:36:07,0.05,0.06,0.01,13.61,12.17,5.74,5.74
2020-09-11 18:36:08,0.03,0.02,0.02,7.88,5.85,4.12,4.12
2020-09-11 18:36:09,0.03,0.02,0.02,1.43,1.36,1.1,1.1
2020-09-11 18:36:10,0.01,0.01,0.0,1.43,1.36,1.1,1.1
2020-09-11 18:36:10,0.03,0.04,0.02,10.9,9.08,8.65,8.65
2020-09-11 18:36:11,0.03,0.04,0.02,10.9,9.08,1.32,1.32
2020-09-11 18:36:12,0.02,0.01,0.01,1.4,2.18,1.32,1.32
2020-09-11 18:36:12,0.02,0.01,0.0,0.59,1.1,0.55,0.55
2020-09-11 18:36:13,0.01,0.01,0.0,0.59,1.1,0.55,0.55
2020-09-11 18:36:14,0.01,0.01,0.01,1.27,1.67,2.46,2.46
2020-09-11 18:36:15,0.01,0.01,0.02,14.47,11.82,7.79,7.79
2020-09-11 18:36:15,0.05,0.06,0.02,14.47,11.82,1.68,1.68
2020-09-11 18:36:16,0.01,0.01,0.01,3.11,2.05,1.68,1.68
2020-09-11 18:36:17,0.0,0.0,0.0,1.59,1.37,1.34,1.34
2020-09-11 18:36:18,0.0,0.0,0.0,1.59,7.55,5.25,5.25
2020-09-11 18:36:19,0.04,0.04,0.01,11.03,7.55,5.25,5.25
2020-09-11 18:36:19,0.04,0.02,0.01,1.22,3.14,1.97,1.97
2020-09-11 18:36:20,0.03,0.02,0.01,1.22,3.14,0.84,0.84
2020-09-11 18:36:21,0.01,0.01,0.01,0.86,1.46,0.84,0.84
2020-09-11 18:36:22,0.01,0.01,0.02,9.6,7.57,5.83,5.83
2020-09-11 18:36:22,0.03,0.03,0.02,9.6,7.57,6.08,6.08
2020-09-11 18:36:23,0.06,0.05,0.02,11.37,10.36,6.08,6.08
2020-09-11 18:36:24,0.06,0.05,0.0,1.84,1.21,1.92,1.92
2020-09-11 18:36:25,0.01,0.01,0.0,1.84,1.21,1.92,1.92
2020-09-11 18:36:25,0.02,0.03,0.01,8.58,5.15,15.74,15.74
