date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 17:51:51,0.14,0.11,0.04,2.81,1.94,1.14,1.14
2020-09-11 17:51:52,0.02,0.01,0.01,2.24,3.27,3.25,3.25
2020-09-11 17:51:52,0.02,0.01,0.01,2.24,10.93,6.99,6.99
2020-09-11 17:51:53,0.04,0.04,0.04,11.56,10.93,6.99,6.99
2020-09-11 17:51:54,0.05,0.05,0.04,8.29,7.78,8.97,8.97
2020-09-11 17:51:55,0.05,0.05,0.04,8.29,1.2,0.6,0.6
2020-09-11 17:51:55,0.0,0.0,0.0,0.75,1.2,0.6,0.6
2020-09-11 17:51:56,0.02,0.01,0.01,3.13,3.13,2.59,2.59
2020-09-11 17:51:57,0.02,0.01,0.01,3.13,15.85,11.58,11.58
2020-09-11 17:51:58,0.06,0.05,0.05,16.0,15.85,11.58,11.58
2020-09-11 17:51:58,0.01,0.02,0.02,4.13,1.4,2.13,2.13
2020-09-11 17:51:59,0.01,0.02,0.0,2.27,1.55,1.81,1.81
2020-09-11 17:52:00,0.0,0.0,0.0,2.27,1.55,1.81,1.81
2020-09-11 17:52:01,0.06,0.04,0.05,16.23,13.7,12.5,12.5
2020-09-11 17:52:02,0.06,0.03,0.03,5.4,11.14,7.25,7.25
2020-09-11 17:52:02,0.03,0.03,0.03,5.4,11.14,1.43,1.43
2020-09-11 17:52:03,0.0,0.01,0.01,3.01,1.91,1.43,1.43
2020-09-11 17:52:04,0.01,0.02,0.02,4.67,4.02,3.58,3.58
2020-09-11 17:52:05,0.01,0.02,0.05,16.44,18.18,12.56,12.56
2020-09-11 17:52:06,0.04,0.05,0.05,16.44,18.18,12.56,12.56
2020-09-11 17:52:07,0.0,0.01,0.02,2.6,1.67,2.12,2.12
2020-09-11 17:52:07,0.0,0.01,0.0,0.39,0.68,0.67,0.67
2020-09-11 17:52:08,0.0,0.0,0.0,0.39,0.68,0.67,0.67
2020-09-11 17:52:09,0.0,0.01,0.01,8.05,4.62,3.76,3.76
2020-09-11 17:52:10,0.0,0.01,0.01,12.27,14.69,14.49,14.49
2020-09-11 17:52:10,0.05,0.05,0.05,12.27,14.69,14.49,14.49
2020-09-11 17:52:11,0.01,0.01,0.0,1.22,2.29,2.35,2.35
2020-09-11 17:52:12,0.01,0.01,0.0,0.46,0.78,0.21,0.21
2020-09-11 17:52:13,0.0,0.0,0.0,0.46,0.78,0.21,0.21
2020-09-11 17:52:14,0.0,0.0,0.0,1.92,2.1,1.4,1.4
2020-09-11 17:52:14,0.0,0.09,0.06,20.37,19.53,16.02,16.02
2020-09-11 17:52:15,0.06,0.09,0.06,20.37,19.53,16.02,16.02
2020-09-11 17:52:16,0.02,0.02,0.03,6.4,2.95,4.7,4.7
2020-09-11 17:52:17,0.02,0.02,0.01,3.12,1.71,1.79,1.79
2020-09-11 17:52:17,0.0,0.01,0.01,3.12,1.71,1.79,1.79
2020-09-11 17:52:18,0.01,0.02,0.03,13.42,4.34,5.75,5.75
2020-09-11 17:52:19,0.01,0.02,0.03,14.03,11.47,14.52,14.52
2020-09-11 17:52:20,0.05,0.05,0.05,14.03,11.47,14.52,14.52
2020-09-11 17:52:20,0.01,0.02,0.01,2.56,2.22,1.9,1.9
2020-09-11 17:52:21,0.01,0.02,0.01,2.56,1.18,0.26,0.26
2020-09-11 17:52:22,0.0,0.0,0.0,0.45,1.18,0.26,0.26
2020-09-11 17:52:22,0.0,0.0,0.0,0.25,1.2,0.2,0.2
2020-09-11 17:52:23,0.0,0.0,0.0,0.25,1.2,0.2,0.2
2020-09-11 17:52:24,0.05,0.02,0.02,5.27,5.75,5.43,5.43
2020-09-11 17:52:25,0.05,0.02,0.04,15.98,8.65,13.79,13.79
2020-09-11 17:52:25,0.03,0.03,0.04,15.98,8.65,13.79,13.79
2020-09-11 17:52:26,0.0,0.01,0.0,1.56,1.19,2.59,2.59
2020-09-11 17:52:27,0.0,0.01,0.01,1.96,2.64,3.54,3.54
2020-09-11 17:52:28,0.01,0.01,0.01,1.96,10.77,10.37,10.37
2020-09-11 17:52:29,0.05,0.06,0.06,18.01,10.77,10.37,10.37
2020-09-11 17:52:29,0.04,0.04,0.03,7.27,10.13,9.21,9.21
2020-09-11 17:52:30,0.04,0.04,0.03,7.27,0.95,0.57,0.57
2020-09-11 17:52:31,0.0,0.0,0.0,1.05,0.95,0.57,0.57
2020-09-11 17:52:32,0.0,0.03,0.04,5.52,10.04,5.47,5.47
2020-09-11 17:52:32,0.03,0.03,0.04,5.52,14.07,11.04,11.04
2020-09-11 17:52:33,0.04,0.03,0.04,15.24,14.07,11.04,11.04
2020-09-11 17:52:34,0.01,0.01,0.01,3.45,1.93,2.57,2.57
2020-09-11 17:52:35,0.01,0.01,0.01,3.45,1.93,1.69,1.69
