date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 17:47:58,0.0,0.08,0.15,1.93,6.77,3.43,3.43
2020-09-11 17:47:59,0.05,0.08,0.15,1.93,7.11,6.43,6.43
2020-09-11 17:48:00,0.03,0.02,0.01,3.25,7.11,6.43,6.43
2020-09-11 17:48:00,0.03,0.07,0.14,8.47,36.21,24.19,24.19
2020-09-11 17:48:01,0.14,0.07,0.14,8.47,36.21,24.19,24.19
2020-09-11 17:48:02,0.05,0.07,0.05,9.06,21.4,22.79,22.79
2020-09-11 17:48:02,0.05,0.07,0.11,11.51,21.31,24.03,24.03
2020-09-11 17:48:03,0.15,0.11,0.11,11.51,21.31,2.81,2.81
2020-09-11 17:48:04,0.01,0.01,0.02,3.39,2.17,2.81,2.81
2020-09-11 17:48:05,0.01,0.11,0.1,15.73,36.27,39.96,39.96
2020-09-11 17:48:06,0.16,0.11,0.1,15.73,36.27,39.96,39.96
2020-09-11 17:48:06,0.03,0.02,0.02,2.93,3.02,2.29,2.29
2020-09-11 17:48:07,0.03,0.02,0.02,8.29,22.2,24.3,24.3
2020-09-11 17:48:08,0.04,0.04,0.03,8.29,22.2,24.3,24.3
2020-09-11 17:48:08,0.15,0.2,0.13,14.59,22.38,18.9,18.9
2020-09-11 17:48:09,0.15,0.2,0.13,14.59,4.88,6.34,6.34
2020-09-11 17:48:10,0.03,0.02,0.01,5.8,4.88,6.34,6.34
2020-09-11 17:48:11,0.13,0.12,0.11,11.82,32.69,40.15,40.15
2020-09-11 17:48:11,0.13,0.12,0.11,11.82,32.69,1.64,1.64
2020-09-11 17:48:12,0.02,0.03,0.02,3.66,4.04,1.64,1.64
2020-09-11 17:48:13,0.02,0.03,0.09,10.38,36.04,36.32,36.32
2020-09-11 17:48:14,0.1,0.14,0.09,10.38,36.04,36.32,36.32
2020-09-11 17:48:14,0.08,0.11,0.05,9.34,9.96,10.4,10.4
2020-09-11 17:48:15,0.08,0.11,0.05,4.17,4.09,4.51,4.51
2020-09-11 17:48:16,0.02,0.01,0.01,4.17,4.09,4.51,4.51
2020-09-11 17:48:16,0.14,0.12,0.1,12.29,33.04,35.36,35.36
2020-09-11 17:48:17,0.14,0.12,0.1,12.29,3.19,2.25,2.25
2020-09-11 17:48:18,0.02,0.02,0.01,2.55,3.19,2.25,2.25
2020-09-11 17:48:19,0.02,0.08,0.06,15.57,30.78,29.73,29.73
2020-09-11 17:48:19,0.06,0.08,0.06,15.57,30.78,21.01,21.01
2020-09-11 17:48:20,0.16,0.19,0.12,14.97,19.02,21.01,21.01
2020-09-11 17:48:21,0.16,0.19,0.0,2.82,1.84,2.23,2.23
2020-09-11 17:48:22,0.0,0.02,0.0,2.82,1.84,2.23,2.23
2020-09-11 17:48:22,0.08,0.07,0.04,9.54,23.13,29.11,29.11
2020-09-11 17:48:23,0.08,0.07,0.04,7.09,20.14,15.85,15.85
2020-09-11 17:48:24,0.09,0.09,0.09,7.09,20.14,15.85,15.85
2020-09-11 17:48:24,0.0,0.01,0.0,1.94,2.62,1.56,1.56
2020-09-11 17:48:25,0.0,0.01,0.0,1.94,2.62,35.23,35.23
2020-09-11 17:48:26,0.16,0.15,0.12,12.45,41.59,35.23,35.23
2020-09-11 17:48:27,0.07,0.08,0.05,7.88,5.41,9.64,9.64
2020-09-11 17:48:28,0.07,0.08,0.05,2.34,1.66,2.25,2.25
2020-09-11 17:48:28,0.01,0.0,0.0,2.34,1.66,2.25,2.25
2020-09-11 17:48:29,0.08,0.07,0.07,13.23,25.0,30.81,30.81
2020-09-11 17:48:30,0.08,0.07,0.07,13.23,17.28,13.33,13.33
2020-09-11 17:48:31,0.1,0.14,0.11,7.78,17.28,13.33,13.33
2020-09-11 17:48:31,0.1,0.05,0.04,6.74,23.4,20.87,20.87
2020-09-11 17:48:32,0.04,0.05,0.04,6.74,23.4,20.56,20.56
2020-09-11 17:48:33,0.14,0.15,0.09,13.75,20.25,20.56,20.56
