date,accX,accY,accZ,gyrX,gyrY,gyrZ
2020-09-11 17:49:22,0.15,0.09,0.08,1.6,1.74,2.38,2.38
2020-09-11 17:49:22,0.01,0.01,0.01,4.13,2.08,1.67,1.67
2020-09-11 17:49:23,0.01,0.01,0.01,4.13,2.08,23.5,23.5
2020-09-11 17:49:24,0.11,0.12,0.07,31.82,25.8,23.5,23.5
2020-09-11 17:49:25,0.11,0.12,0.06,39.49,18.83,21.78,21.78
2020-09-11 17:49:25,0.07,0.11,0.06,39.49,18.83,21.78,21.78
2020-09-11 17:49:26,0.09,0.11,0.08,19.78,15.08,19.35,19.35
2020-09-11 17:49:27,0.09,0.11,0.11,27.43,29.02,19.41,19.41
2020-09-11 17:49:28,0.13,0.11,0.11,27.43,29.02,19.41,19.41
2020-09-11 17:49:28,0.07,0.13,0.09,49.47,22.12,20.61,20.61
2020-09-11 17:49:29,0.07,0.13,0.08,51.41,20.02,20.96,20.96
2020-09-11 17:49:30,0.06,0.09,0.08,51.41,20.02,20.96,20.96
2020-09-11 17:49:31,0.09,0.12,0.07,81.81,30.96,23.13,23.13
2020-09-11 17:49:31,0.09,0.12,0.07,81.81,12.11,27.31,27.31
2020-09-11 17:49:32,0.09,0.09,0.08,40.79,12.11,27.31,27.31
2020-09-11 17:49:33,0.08,0.11,0.1,35.28,25.97,19.61,19.61
2020-09-11 17:49:34,0.08,0.11,0.1,35.28,25.97,8.68,8.68
2020-09-11 17:49:34,0.05,0.08,0.08,39.4,13.22,8.68,8.68
2020-09-11 17:49:35,0.05,0.08,0.07,12.17,23.77,14.49,14.49
2020-09-11 17:49:36,0.06,0.06,0.07,12.17,23.77,14.49,14.49
2020-09-11 17:49:36,0.1,0.14,0.12,43.15,19.43,24.38,24.38
2020-09-11 17:49:37,0.1,0.14,0.09,67.91,36.66,22.34,22.34
2020-09-11 17:49:38,0.07,0.07,0.09,67.91,36.66,22.34,22.34
2020-09-11 17:49:39,0.11,0.11,0.08,65.78,34.82,25.01,25.01
2020-09-11 17:49:39,0.11,0.11,0.08,65.78,24.94,21.15,21.15
2020-09-11 17:49:40,0.05,0.06,0.06,52.66,24.94,21.15,21.15
2020-09-11 17:49:41,0.05,0.1,0.07,27.09,18.08,22.34,22.34
2020-09-11 17:49:42,0.09,0.1,0.07,27.09,15.81,16.57,16.57
2020-09-11 17:49:42,0.09,0.11,0.09,24.67,15.81,16.57,16.57
2020-09-11 17:49:43,0.09,0.09,0.06,14.18,10.96,11.02,11.02
2020-09-11 17:49:44,0.05,0.09,0.06,14.18,10.96,11.02,11.02
2020-09-11 17:49:45,0.06,0.09,0.08,16.72,13.38,13.91,13.91
2020-09-11 17:49:45,0.06,0.09,0.1,34.85,19.78,30.24,30.24
2020-09-11 17:49:46,0.14,0.15,0.1,34.85,19.78,30.24,30.24
2020-09-11 17:49:47,0.1,0.13,0.08,24.54,29.89,30.21,30.21
2020-09-11 17:49:47,0.1,0.13,0.08,24.54,13.12,20.9,20.9
2020-09-11 17:49:48,0.08,0.09,0.08,29.62,13.12,20.9,20.9
2020-09-11 17:49:49,0.08,0.08,0.07,12.29,13.39,10.36,10.36
2020-09-11 17:49:50,0.08,0.08,0.07,12.29,13.39,16.79,16.79
2020-09-11 17:49:50,0.07,0.08,0.07,12.5,13.3,16.79,16.79
2020-09-11 17:49:51,0.07,0.08,0.09,25.41,20.81,39.15,39.15
2020-09-11 17:49:52,0.13,0.18,0.09,25.41,20.81,39.15,39.15
2020-09-11 17:49:53,0.1,0.13,0.08,20.03,18.17,17.67,17.67
2020-09-11 17:49:53,0.1,0.13,0.08,35.05,20.3,26.66,26.66
2020-09-11 17:49:54,0.05,0.09,0.04,35.05,20.3,26.66,26.66
2020-09-11 17:49:55,0.09,0.11,0.1,59.11,29.05,13.64,13.64
2020-09-11 17:49:55,0.09,0.11,0.1,81.18,35.23,21.9,21.9
2020-09-11 17:49:56,0.13,0.14,0.1,81.18,35.23,21.9,21.9
2020-09-11 17:49:57,0.07,0.12,0.08,34.08,30.89,33.91,33.91
2020-09-11 17:49:58,0.07,0.12,0.08,34.08,38.35,31.34,31.34
2020-09-11 17:49:59,0.16,0.21,0.15,55.03,38.35,31.34,31.34
2020-09-11 17:49:59,0.16,0.1,0.08,66.22,24.85,20.83,20.83
2020-09-11 17:50:00,0.06,0.1,0.08,66.22,24.85,22.88,22.88
2020-09-11 17:50:01,0.14,0.16,0.13,19.89,31.33,22.88,22.88
2020-09-11 17:50:01,0.14,0.15,0.08,49.73,43.59,24.27,24.27
2020-09-11 17:50:02,0.13,0.15,0.08,49.73,43.59,24.27,24.27
2020-09-11 17:50:03,0.05,0.06,0.05,40.63,16.3,24.1,24.1
2020-09-11 17:50:04,0.05,0.06,0.05,7.77,6.26,8.79,8.79
