,date,accX,accY,accZ,gyrX,gyrY,gyrZ,files,accTotal,gyrTotal
0,2020-09-14 19:16:45,0.0,0.0,0.0,1.46,0.47,1.39,1,0.0,2.0699275349634827
1,2020-09-14 19:16:46,0.0,0.0,0.0,1.07,0.47,1.38,1,0.0,1.8083694312833316
2,2020-09-14 19:16:46,0.01,0.0,0.0,1.07,0.47,1.38,1,0.01,1.8083694312833316
3,2020-09-14 19:16:47,0.0,0.0,0.0,1.05,0.25,1.4,1,0.0,1.7677669529663689
4,2020-09-14 19:16:48,0.0,0.0,0.0,0.83,0.1,1.41,1,0.0,1.6392071254115508
5,2020-09-14 19:16:49,0.0,0.0,0.0,0.83,0.1,1.41,1,0.0,1.6392071254115508
6,2020-09-14 19:16:49,0.0,0.0,0.0,0.83,0.1,1.41,1,0.0,1.6392071254115508
7,2020-09-14 19:16:50,0.0,0.0,0.0,0.83,0.61,1.42,1,0.0,1.7542519773396295
8,2020-09-14 19:16:51,0.01,0.0,0.0,1.33,0.61,1.42,1,0.01,2.0389703283765557
9,2020-09-14 19:16:51,0.0,0.0,0.0,0.94,0.24,1.37,1,0.0,1.6787197502859137
10,2020-09-14 19:16:52,0.0,0.0,0.0,0.94,0.24,1.39,1,0.0,1.6950811190028634
11,2020-09-14 19:16:53,0.0,0.0,0.0,0.84,0.14,1.39,1,0.0,1.6301226947687095
12,2020-09-14 19:16:54,0.0,0.0,0.0,0.92,0.34,1.37,1,0.0,1.6849035580709064
13,2020-09-14 19:16:54,0.0,0.0,0.0,0.92,0.34,1.37,1,0.0,1.6849035580709064
14,2020-09-14 19:16:55,0.0,0.0,0.0,0.82,0.1,1.4,1,0.0,1.6255460620972877
15,2020-09-14 19:16:56,0.0,0.0,0.0,0.82,0.09,1.39,1,0.0,1.6163539216396883
16,2020-09-14 19:16:57,0.0,0.0,0.0,0.82,0.09,1.39,1,0.0,1.6163539216396883
17,2020-09-14 19:16:57,0.0,0.0,0.0,0.89,0.12,1.38,1,0.0,1.6464810961562844
18,2020-09-14 19:16:58,0.0,0.0,0.0,0.89,0.12,1.38,1,0.0,1.6464810961562844
19,2020-09-14 19:16:59,0.0,0.0,0.0,0.88,0.12,1.38,1,0.0,1.641097193952875
20,2020-09-14 19:17:00,0.0,0.0,0.0,0.88,0.1,1.35,1,0.0,1.61458973117012
21,2020-09-14 19:17:00,0.0,0.0,0.0,0.88,0.1,1.38,1,0.0,1.6397560794215704
22,2020-09-14 19:17:01,0.0,0.0,0.0,0.84,0.09,1.38,1,0.0,1.618054387219416
23,2020-09-14 19:17:02,0.0,0.0,0.0,0.86,0.1,1.36,1,0.0,1.6122034611053284
24,2020-09-14 19:17:02,0.0,0.0,0.0,0.86,0.1,1.36,1,0.0,1.6122034611053284
25,2020-09-14 19:17:03,0.0,0.0,0.0,0.88,0.11,1.37,1,0.0,1.6319926470422592
26,2020-09-14 19:17:04,0.0,0.0,0.0,0.88,0.1,1.39,1,0.0,1.6481808153233672
27,2020-09-14 19:17:05,0.0,0.0,0.0,0.85,0.1,1.39,1,0.0,1.6323602543556368
28,2020-09-14 19:17:05,0.0,0.0,0.0,0.86,0.11,1.4,1,0.0,1.6467240205936147
29,2020-09-14 19:17:06,0.0,0.0,0.0,0.86,0.09,1.38,1,0.0,1.6285269417482782
30,2020-09-14 19:17:07,0.0,0.0,0.0,0.87,0.09,1.38,1,0.0,1.633829856502812
31,2020-09-14 19:17:08,0.0,0.0,0.0,0.85,0.11,1.38,1,0.0,1.624499923053245
32,2020-09-14 19:17:08,0.0,0.0,0.0,0.85,0.11,1.38,1,0.0,1.624499923053245
33,2020-09-14 19:17:09,0.0,0.0,0.0,0.84,0.1,1.38,1,0.0,1.6186414056238645
34,2020-09-14 19:17:10,0.0,0.0,0.0,0.95,0.12,1.36,1,0.0,1.663279892261071
35,2020-09-14 19:17:11,0.0,0.0,0.0,0.95,0.12,1.36,1,0.0,1.663279892261071
36,2020-09-14 19:17:11,0.0,0.0,0.0,0.86,0.11,1.35,1,0.0,1.604431363443136
37,2020-09-14 19:17:12,0.0,0.0,0.0,0.86,0.1,1.39,1,0.0,1.6375896922000943
38,2020-09-14 19:17:13,0.0,0.0,0.0,0.86,0.1,1.39,1,0.0,1.6375896922000943
39,2020-09-14 19:17:13,0.0,0.0,0.0,0.9,0.14,1.37,1,0.0,1.6451443705644804
40,2020-09-14 19:17:14,0.0,0.0,0.0,0.9,0.11,1.38,1,0.0,1.651211676315305
41,2020-09-14 19:17:15,0.0,0.0,0.0,0.88,0.11,1.38,1,0.0,1.6403962935827427
42,2020-09-14 19:17:16,0.0,0.0,0.0,0.86,0.12,1.35,1,0.0,1.6051479682571324
43,2020-09-14 19:17:16,0.0,0.0,0.0,0.86,0.12,1.35,1,0.0,1.6051479682571324
44,2020-09-14 19:17:17,0.0,0.0,0.0,0.86,0.1,1.38,1,0.0,1.6291101865742537
45,2020-09-14 19:17:18,0.0,0.0,0.0,0.87,0.41,1.37,1,0.0,1.6738876903783002
46,2020-09-14 19:17:19,0.0,0.0,0.0,0.87,0.41,1.37,1,0.0,1.6738876903783002
47,2020-09-14 19:17:19,0.0,0.0,0.0,0.84,0.1,1.36,1,0.0,1.6016241756417142
48,2020-09-14 19:17:20,0.0,0.0,0.0,0.85,0.12,1.39,1,0.0,1.6337074401495513
49,2020-09-14 19:17:21,0.0,0.0,0.0,0.85,0.12,1.39,1,0.0,1.6337074401495513
50,2020-09-14 19:17:21,0.0,0.0,0.0,0.87,0.1,1.36,1,0.0,1.6175598906995685
51,2020-09-14 19:17:22,0.0,0.0,0.0,0.87,0.1,1.36,1,0.0,1.6175598906995685
52,2020-09-14 19:17:23,0.0,0.0,0.0,0.87,0.13,1.36,1,0.0,1.6196913286178944
53,2020-09-14 19:17:24,0.0,0.0,0.0,0.87,0.12,1.38,1,0.0,1.6357567056258702
54,2020-09-14 19:17:24,0.0,0.0,0.0,0.87,0.12,1.38,1,0.0,1.6357567056258702
55,2020-09-14 19:17:25,0.0,0.0,0.0,0.85,0.09,1.38,1,0.0,1.6232683080747925
56,2020-09-14 19:17:26,0.0,0.0,0.0,0.84,0.11,1.38,1,0.0,1.6192899678562822
57,2020-09-14 19:17:27,0.0,0.0,0.0,0.84,0.11,1.38,1,0.0,1.6192899678562822
58,2020-09-14 19:17:27,0.0,0.0,0.0,0.84,0.11,1.38,1,0.0,1.6192899678562822
59,2020-09-14 19:17:28,0.0,0.0,0.0,0.83,0.1,1.37,1,0.0,1.6049299050114307
60,2020-09-14 19:17:29,0.0,0.0,0.0,0.83,0.1,1.37,1,0.0,1.6049299050114307
61,2020-09-14 19:17:30,0.0,0.0,0.0,0.85,0.09,1.39,1,0.0,1.631778171198524
62,2020-09-14 19:17:30,0.0,0.0,0.0,0.87,0.11,1.36,1,0.0,1.6182088863926067
63,2020-09-14 19:17:31,0.0,0.0,0.0,0.87,0.11,1.36,1,0.0,1.6182088863926067
64,2020-09-14 19:17:32,0.0,0.0,0.0,0.88,0.13,1.36,1,0.0,1.625084613181726
65,2020-09-14 19:17:33,0.0,0.0,0.0,0.88,0.11,1.39,1,0.0,1.6488177582740913
66,2020-09-14 19:17:33,0.0,0.0,0.0,0.87,0.11,1.39,1,0.0,1.6435023577713541
67,2020-09-14 19:17:34,0.0,0.0,0.0,0.88,0.13,1.38,1,0.0,1.6418587028121512
68,2020-09-14 19:17:35,0.0,0.0,0.0,0.88,0.13,1.38,1,0.0,1.6418587028121512
69,2020-09-14 19:17:35,0.0,0.0,0.0,0.85,0.11,1.38,1,0.0,1.624499923053245
70,2020-09-14 19:17:36,0.0,0.0,0.0,1.47,0.74,1.36,1,0.0,2.1349707257946187
71,2020-09-14 19:17:37,0.01,0.0,0.0,1.47,0.74,1.36,1,0.01,2.1349707257946187
72,2020-09-14 19:17:38,0.0,0.0,0.0,0.88,0.15,1.37,1,0.0,1.6351758315239373
73,2020-09-14 19:17:38,0.0,0.0,0.0,0.86,0.43,1.37,1,0.0,1.6737383308032352
74,2020-09-14 19:17:39,0.0,0.0,0.0,0.86,0.43,1.37,1,0.0,1.6737383308032352
75,2020-09-14 19:17:40,0.0,0.0,0.0,0.85,0.12,1.39,1,0.0,1.6337074401495513
76,2020-09-14 19:17:41,0.0,0.0,0.0,0.85,0.12,1.4,1,0.0,1.6422241016377757
77,2020-09-14 19:17:41,0.0,0.0,0.0,0.88,0.22,1.4,1,0.0,1.6681726529349412
78,2020-09-14 19:17:42,0.0,0.0,0.0,0.87,0.24,1.38,1,0.0,1.6489087300393555
79,2020-09-14 19:17:43,0.0,0.0,0.0,0.87,0.24,1.38,1,0.0,1.6489087300393555
80,2020-09-14 19:17:43,0.0,0.0,0.0,0.92,0.37,1.4,1,0.0,1.7156048496084406
81,2020-09-14 19:17:44,0.0,0.0,0.0,0.89,0.22,1.39,1,0.0,1.6651126088045816
82,2020-09-14 19:17:45,0.0,0.0,0.0,0.89,0.22,1.39,1,0.0,1.6651126088045816
83,2020-09-14 19:17:46,0.0,0.0,0.0,0.83,0.12,1.4,1,0.0,1.6319620093617375
84,2020-09-14 19:17:46,0.0,0.0,0.0,0.83,0.1,1.39,1,0.0,1.6220357579289058
85,2020-09-14 19:17:47,0.0,0.0,0.0,0.84,0.1,1.39,1,0.0,1.6271754668750384
86,2020-09-14 19:17:48,0.0,0.0,0.0,0.84,0.1,1.4,1,0.0,1.635726138447387
87,2020-09-14 19:17:49,0.0,0.0,0.0,0.84,0.1,1.37,1,0.0,1.6101242188104619
88,2020-09-14 19:17:49,0.0,0.0,0.0,0.85,0.12,1.37,1,0.0,1.6167250848551835
