date,accX,accY,accZ,gyrX,gyrY,gyrZ,fall
2020-09-08 14:07:44,0.0,0.0,0.95,1.78,1.2,1.3,0.0
2020-09-08 14:07:45,0.25,0.13,0.95,2.98,2.34,1.96,0.0
2020-09-08 14:07:46,0.25,0.13,0.95,23.82,13.39,20.08,0.0
2020-09-08 14:07:47,0.34,0.18,0.88,48.96,47.64,25.34,0.0
2020-09-08 14:07:48,0.13,0.26,0.92,34.88,37.96,57.22,0.0
2020-09-08 14:07:50,0.57,0.71,0.39,42.45,28.07,41.06,0.0
2020-09-08 14:07:51,0.56,0.74,0.22,57.24,53.05,46.06,0.0
2020-09-08 14:07:52,0.76,0.41,0.48,37.0,38.99,39.68,0.0
2020-09-08 14:07:54,0.85,0.28,0.37,37.42,24.66,40.21,0.0
2020-09-08 14:07:55,0.47,0.62,0.45,28.94,26.05,54.26,0.0
2020-09-08 14:07:56,0.19,0.86,0.45,40.05,23.45,36.45,0.0
2020-09-08 14:07:57,0.26,0.69,0.61,32.71,15.18,26.42,0.0
2020-09-08 14:07:59,0.3,0.3,0.89,33.49,38.76,18.06,0.0
2020-09-08 14:08:00,0.3,0.19,0.89,30.09,20.08,16.04,0.0
2020-09-08 14:08:02,0.75,0.28,0.55,44.6,24.94,46.37,0.0
2020-09-08 14:08:03,0.82,0.24,0.46,21.49,22.34,21.59,0.0
2020-09-08 14:08:04,0.79,0.31,0.49,14.24,10.42,15.14,0.0
2020-09-08 14:08:21,0.71,0.62,0.26,23.08,27.02,18.06,0.0
2020-09-08 14:08:22,0.1,0.06,1.01,27.43,28.1,39.53,0.0
2020-09-08 14:08:23,0.09,0.17,0.96,60.86,32.86,107.51,0.0
2020-09-08 14:08:24,0.39,0.77,0.85,71.53,60.7,77.83,0.0
2020-09-08 14:08:25,0.3,0.7,0.85,53.75,30.66,52.38,0.0
2020-09-08 14:08:27,0.22,0.37,0.94,66.45,68.94,190.05,0.0
2020-09-08 14:08:28,0.71,1.16,0.99,66.45,57.43,99.35,0.0
2020-09-08 14:08:29,0.47,0.64,0.89,25.06,31.45,24.56,0.0
2020-09-08 14:08:30,0.16,0.48,0.8,32.34,41.13,37.93,0.0
2020-09-08 14:08:31,0.22,0.41,0.84,38.95,38.12,45.39,0.0
2020-09-08 14:08:32,0.77,0.21,0.55,48.57,27.21,33.94,0.0
2020-09-08 14:08:33,0.89,0.15,0.4,48.57,23.34,37.52,0.0
2020-09-08 14:08:35,0.85,0.16,0.43,19.81,11.96,24.2,0.0
2020-09-08 14:08:36,0.84,0.32,0.4,23.76,15.66,33.79,0.0
2020-09-08 14:08:37,0.76,0.38,0.48,20.35,22.97,22.23,0.0
2020-09-08 14:08:38,0.92,0.09,0.35,13.37,22.97,18.96,0.0
2020-09-08 14:08:39,0.85,0.22,0.44,24.54,4.61,11.02,0.0
2020-09-08 14:08:40,0.9,0.22,0.32,13.78,4.61,4.23,0.0
2020-09-08 14:08:41,0.94,0.25,0.2,39.1,25.28,14.76,0.0
2020-09-08 14:08:43,0.93,0.28,0.22,32.04,7.72,5.19,0.0
2020-09-08 14:08:44,0.98,0.09,0.08,8.23,4.6,7.25,0.0
2020-09-08 14:08:45,0.98,0.05,0.06,3.78,2.24,2.35,0.0
2020-09-08 14:08:47,0.98,0.05,0.03,2.25,0.78,1.36,0.0
2020-09-08 14:08:48,0.98,0.05,0.04,2.33,1.54,1.53,0.0
2020-09-08 14:08:49,0.98,0.05,0.04,7.12,2.01,1.86,0.0
2020-09-08 14:08:50,0.98,0.06,0.04,8.68,2.59,5.35,0.0
2020-09-08 14:08:52,0.98,0.07,0.03,27.13,6.1,14.1,0.0
2020-09-08 14:08:53,0.98,0.13,0.14,46.32,18.57,3.18,0.0
2020-09-08 14:08:54,0.97,0.12,0.11,7.5,3.25,2.12,0.0
2020-09-08 14:08:55,0.98,0.09,0.07,6.5,3.8,2.12,0.0
2020-09-08 14:08:56,0.98,0.09,0.04,5.7,2.72,1.99,0.0
